alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,30,22.270648546051234,none,0.0,0.6,0.01,100.0,-24.948471069335938,26.0,0.0,0.6533614993095398,0.35999998450279236,4.0,104.0,0.002400000113993883,3.0,-0.6000000238418579,0.0,0.1875707358121872,0.0,7.032131671905518,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,31,10.562613949994557,none,0.0,0.6,0.01,100.0,-24.403791427612305,26.0,0.0,0.5425704121589661,0.35999998450279236,4.0,104.0,0.002400000113993883,3.0,-0.6000000238418579,0.0,0.12053406238555908,0.0,6.985434055328369,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,32,10.572452886030078,none,0.0,0.6,0.01,100.0,-23.353708267211914,26.0,0.009999999776482582,0.4675557017326355,0.47999998927116394,4.0,104.0,0.009600000455975533,12.0,-0.5731287598609924,0.0,0.18928056955337524,0.0,4.4314117431640625,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,33,10.559627857990563,none,0.0,0.6,0.01,100.0,-24.752267837524414,26.0,0.009999999776482582,0.536899745464325,0.3400000035762787,4.0,104.0,0.010400000028312206,13.0,-0.5633652806282043,0.0,0.20631958544254303,0.0,4.399169445037842,0.5986160039901733
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,34,10.566427103010938,none,0.0,0.6,0.01,100.0,-24.35245132446289,26.0,0.0,0.5200517177581787,0.28999999165534973,4.0,104.0,0.008799999952316284,11.0,-0.025648705661296844,0.0,0.14502191543579102,0.0,4.436158180236816,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,35,10.559722739970312,none,0.0,0.6,0.01,100.0,-23.67901039123535,26.0,0.0,0.5520787239074707,0.3700000047683716,4.0,104.0,0.002400000113993883,3.0,-0.5985194444656372,0.0,0.14119668304920197,0.0,7.042734146118164,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,36,10.559924946981482,none,0.0,0.6,0.01,100.0,-23.89922523498535,26.0,0.0,0.5868174433708191,0.3400000035762787,4.0,104.0,0.002400000113993883,3.0,-0.6000000238418579,0.0,0.16827607154846191,0.0,6.13907527923584,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,37,10.562557806959376,none,0.0,0.6,0.01,100.0,-25.608211517333984,26.0,0.0,0.57025545835495,0.3199999928474426,4.0,104.0,0.002400000113993883,3.0,-0.5975104570388794,0.0,0.1930437535047531,0.0,7.101950168609619,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,38,10.545129735954106,none,0.0,0.6,0.01,100.0,-22.34294891357422,26.0,0.0,0.5519514083862305,0.22999998927116394,4.0,104.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,0.2186214178800583,0.0,6.53797721862793,0.6000000238418579
0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,39,10.554883164935745,none,0.0,0.6,0.01,100.0,-22.994287490844727,26.0,0.0,0.5657848119735718,0.32999998331069946,4.0,104.0,0.002400000113993883,3.0,-0.6000000238418579,0.0,0.13748838007450104,0.0,7.074517250061035,0.6000000238418579
