seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.2611216,0.2611216,21.370298389776355,24.49037,0.08065916625878594,0.0,-27.21523727795527,-27.596027,2.0,2.0,0.1
31,313,0.0,0,0.0,0,0,0,0.28755329999999996,0.2875533,21.370298389776355,24.49037,0.09276359756549521,0.095461324,-26.978377993610223,-27.887014,2.0,2.0,0.1
32,313,0.0,0,0.0,0,0,0,0.29967245000000003,0.29967245,21.380298619808304,24.50037,0.09085470337060704,0.09727729,-27.015496840255587,-26.270086,2.0,2.0,0.1
33,313,0.0,0,0.0,0,0,0,0.29396360000000005,0.2939636,21.370298389776355,24.49037,0.0930184814057508,0.108037725,-27.002821329073484,-26.704552,2.0,2.0,0.1
34,313,0.0,0,0.0,0,0,0,0.2811739,0.2811739,21.380298619808304,24.50037,0.0812123339233227,0.09409124,-27.200561070287534,-26.466438,2.0,2.0,0.1
35,313,0.0,0,0.0,0,0,0,0.34666008,0.34666008,21.510301591054315,24.630373,0.093589633456869,0.1012452,-26.979774421725242,-27.526129,2.0,2.0,0.1
36,313,0.0,0,0.0,0,0,0,0.1801092,0.1801092,20.91028785942492,24.03036,0.0787573075654952,0.0,-27.177542875399368,-29.07531,2.0,2.0,0.1
37,313,0.0,0,0.0,0,0,0,0.32321066,0.32321066,21.500301357827475,24.620373,0.08784476721086261,0.09853237,-27.05115815654952,-26.80619,2.0,2.0,0.1
38,313,0.0,0,0.0,0,0,0,0.15815,0.15815,21.000289916932907,24.120361,0.07202721083067092,0.089395195,-27.329981236421727,-28.09063,2.0,2.0,0.1
39,313,0.0,0,0.0,0,0,0,0.2784556999999999,0.2784557,21.450300220447286,24.570372,0.08298567925878594,0.094341435,-27.04569457827476,-26.73279,2.0,2.0,0.1
40,313,0.0,0,0.0,0,0,0,0.31134766,0.31134766,21.510301591054315,24.630373,0.08631187373482428,0.0,-27.10745919808307,-27.989595,2.0,2.0,0.1
41,313,0.0,0,0.0,0,0,0,0.31043315,0.31043315,21.380298619808304,24.50037,0.09311835555910543,0.0954583,-27.03133620766773,-27.8356,2.0,2.0,0.1
