mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,0,1.0,1,1.0,0.5039462,1.00588,0.09865519,0.09865519,1.0,0.0039462075,0.04,-26.322607,2.2129803,0.7376601,0.17,0.0,0.1406561,0.0,0.0,3200
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,1,1.0,2,0.5039462,0.007633016,1.0354067,0.092170775,0.092170775,1.0,0.0036868309,0.04,-27.19927,2.2779403,0.75931346,0.24000001,0.0,0.13793102,0.0,0.0,6400
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,2,0.0,2,0.007633016,0.011709383,0.9917867,0.101909176,0.101909176,1.0,0.004076367,0.04,-26.019754,2.1819744,0.72732484,0.15200001,0.0,0.13082676,0.0,0.0,9600
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,3,0.0,2,0.011709383,0.015767789,0.99370456,0.10146014,0.10146014,1.0,0.0040584053,0.04,-27.323154,2.1861937,0.7287313,0.16000001,0.0,0.13336188,0.0,0.0,12800
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,4,0.0,2,0.015767789,0.015767789,1.0722753,0.0,0.08466905,0.0,0.0,0.04,-27.838577,2.3590527,0.7863509,0.096,0.0,0.14840502,0.0,0.0,16000
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,5,0.0,2,0.015767789,0.01968178,1.0094402,0.097849764,0.097849764,1.0,0.0039139907,0.04,-26.561377,2.2208128,0.740271,0.16000001,0.0,0.1580116,0.0,0.0,19200
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,6,0.0,2,0.01968178,0.023500703,1.0201191,0.09547307,0.09547307,1.0,0.003818923,0.04,-27.306166,2.2443068,0.7481023,0.216,0.008,0.17779735,0.0,0.0,22400
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,7,0.0,2,0.023500703,0.027096061,1.0463179,0.08988393,0.08988393,1.0,0.003595357,0.04,-27.556913,2.3019454,0.76731515,0.17600001,0.008,0.15537989,0.0,0.0,25600
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,8,0.0,2,0.027096061,0.030885547,1.0234797,0.09473714,0.09473714,1.0,0.0037894857,0.04,-27.525427,2.2517004,0.75056684,0.18400002,0.0,0.14523557,0.0,0.0,28800
hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,36,9,0.0,2,0.030885547,0.030885547,1.06656,0.0,0.08579064,0.0,0.0,0.04,-27.539244,2.346479,0.7821597,0.16000001,0.0,0.14567356,0.0,0.0,32000
