mechanism_tag,alpha,family,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,energy_E_raw,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,0,1.0,1,1.0,0.42000002,0.42000002,1.0157976,0.0,0.096427836,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.423994,2.2347994,0.7449331,0.19999999,0.0,0.15954061,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,1,0.0,1,0.42000002,0.42000002,0.42000002,1.0439509,0.0,0.090375155,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.942667,2.296738,0.76557934,0.17600001,0.0,0.1457079,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,2,0.0,1,0.42000002,0.42000002,0.42000002,1.0354754,0.0,0.09215621,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.160028,2.2780914,0.75936383,0.112,0.0,0.16250852,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,3,0.0,1,0.42000002,0.42000002,0.42000002,1.0019817,0.0,0.09954473,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.186563,2.2044039,0.7348013,0.17600001,0.0,0.17438947,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,4,0.0,1,0.42000002,0.42000002,0.42000002,1.1055894,0.0,0.07841707,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-28.573126,2.4323452,0.8107817,0.14400001,0.0,0.17196593,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,5,0.0,1,0.42000002,0.42000002,0.42000002,1.089527,0.0,0.08137162,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-28.569685,2.3970072,0.7990024,0.14400001,0.0,0.19502284,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,6,0.0,1,0.42000002,0.42000002,0.42000002,1.0233694,0.0,0.0947612,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.411627,2.2514577,0.7504859,0.096,0.0,0.16113259,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,7,0.0,1,0.42000002,0.42000002,0.42000002,1.052521,0.0,0.08860924,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.87015,2.3155925,0.7718642,0.2,0.0,0.18065763,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,8,0.0,1,0.42000002,0.42000002,0.42000002,1.0344305,0.0,0.09237819,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.482212,2.2757926,0.75859755,0.15200001,0.0,0.15585855,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,9,0.0,1,0.42000002,0.42000002,0.42000002,1.0620744,0.0,0.08668132,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.517317,2.3366103,0.7788701,0.120000005,0.0,0.20588,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,10,0.0,1,0.42000002,0.42000002,0.42000002,1.0229708,0.0,0.094848216,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-26.852594,2.2505808,0.7501936,0.208,0.0,0.13274714,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,11,0.0,1,0.42000002,0.42000002,0.42000002,1.0391104,0.0,0.09138809,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.872744,2.2860885,0.7620295,0.15200001,0.0,0.205776,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,12,0.0,1,0.42000002,0.42000002,0.42000002,1.0110022,0.0,0.09749848,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-26.53994,2.2242491,0.7414164,0.16800001,0.0,0.14868143,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,13,0.0,1,0.42000002,0.42000002,0.42000002,1.0368544,0.0,0.09186406,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.921701,2.281125,0.760375,0.13,0.0,0.16520786,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,14,0.0,1,0.42000002,0.42000002,0.42000002,1.0440638,0.0,0.09035167,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.599255,2.2969863,0.76566213,0.14400001,0.0,0.16310889,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,15,0.0,1,0.42000002,0.42000002,0.42000002,1.041195,0.0,0.09095047,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.159983,2.290675,0.7635583,0.112,0.0,0.17048699,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,16,0.0,1,0.42000002,0.42000002,0.42000002,1.0084528,0.0,0.098072484,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-26.95045,2.2186403,0.7395468,0.128,0.0,0.14278246,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,17,0.0,1,0.42000002,0.4263289,0.4263289,0.9768252,0.105481125,0.105481125,1.0,0.0063288673,0.06,0.0,0.0,0.0,0.0,-25.74204,2.1490583,0.7163528,0.14400001,0.0,0.15386868,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,18,0.0,1,0.4263289,0.4263289,0.4263289,1.0827245,0.0,0.08265623,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-28.688948,2.3820415,0.79401386,0.17600001,0.0,0.1875051,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,19,0.0,1,0.4263289,0.4263289,0.4263289,1.0317734,0.0,0.09294511,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-26.5932,2.2699468,0.75664896,0.14400001,0.0,0.16696368,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,20,0.0,1,0.4263289,0.4324857,0.4324857,0.98879564,0.10261347,0.10261347,1.0,0.006156808,0.06,0.0,0.0,0.0,0.0,-26.447033,2.1753938,0.7251313,0.16800001,0.0,0.1688117,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,21,0.0,1,0.4324857,0.4387488,0.4387488,0.9813607,0.104385294,0.104385294,1.0,0.0062631173,0.06,0.0,0.0,0.0,0.0,-25.984526,2.1590366,0.7196789,0.16800001,0.0,0.13968824,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.06,base,41,22,0.0,1,0.4387488,0.4387488,0.4387488,1.0352443,0.0,0.09220525,0.0,0.0,0.06,0.0,0.0,0.0,0.0,-27.884672,2.2775831,0.7591944,0.14400001,0.0,0.20526816,0.0,0.0
