seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.56598216,0.56598216,32.79023512779552,37.470097,0.06537396606070286,0.0,-27.38114111501598,-27.642984,1.0,1.0,0.08
31,313,0.0,0,0.0,0,0,0,0.5582478599999999,0.55824786,32.79023512779552,37.470097,0.06512325511182109,0.0,-27.357048067092652,-28.243717,1.0,1.0,0.08
32,313,0.0,0,0.0,0,0,0,0.5640836399999999,0.56408364,32.79023512779552,37.470097,0.06977387964536741,0.09466266,-27.28929687859425,-26.595474,1.0,1.0,0.08
33,313,0.0,0,0.0,0,0,0,0.56450427,0.56450427,32.79023512779552,37.470097,0.07537165146325879,0.10433066,-27.26351985942492,-27.032078,1.0,1.0,0.08
34,313,0.0,0,0.0,0,0,0,0.5671071400000001,0.56710714,32.79023512779552,37.470097,0.06196078674760384,0.0904404,-27.39756859744409,-26.623798,1.0,1.0,0.08
35,313,0.0,0,0.0,0,0,0,0.06465337000000002,0.06465337,31.89024514376997,36.570133,0.08832632753035144,0.10028458,-27.062461738019177,-27.583857,2.0,2.0,0.08
36,313,0.0,0,0.0,0,0,0,0.5309245999999999,0.5309246,32.79023512779552,37.470097,0.05426108026837061,0.0,-27.473348594249202,-29.332767,1.0,1.0,0.08
37,313,0.0,0,0.0,0,0,0,0.038539253,0.038539253,31.500247785942495,36.18015,0.07510135086581468,0.094628714,-27.22351266773163,-27.079103,2.0,2.0,0.08
38,313,0.0,0,0.0,0,0,0,0.5288767999999999,0.5288768,32.79023512779552,37.470097,0.0568026483258786,0.0,-27.50445204792332,-28.26887,1.0,1.0,0.08
39,313,0.0,0,0.0,0,0,0,0.57373625,0.57373625,32.79023512779552,37.470097,0.06402654354632589,0.08968824,-27.285574287539937,-26.973747,1.0,1.0,0.08
40,313,0.0,0,0.0,0,0,0,0.045753880000000004,0.04575388,31.635247520766775,36.315144,0.08587154055591054,0.0,-27.11201326198083,-27.9346,2.0,2.0,0.08
41,313,0.0,0,0.0,0,0,0,0.5706584499999999,0.57065845,32.79023512779552,37.470097,0.06794840470607029,0.09067619,-27.37012322364217,-28.060936,1.0,1.0,0.08
