seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.30554813,0.30554813,21.630304338658146,24.750376,0.09405759020447284,0.08923236,-27.221349447284343,-27.603579,2.0,2.0,0.1
31,313,0.0,0,0.0,0,0,0,0.29925056999999994,0.29925057,21.630304338658146,24.750376,0.09496319068690096,0.08966785,-27.1681440543131,-28.127111,2.0,2.0,0.1
32,313,0.0,0,0.0,0,0,0,0.29990897000000005,0.29990897,21.59030342172524,24.710375,0.0966377868626198,0.098197915,-27.096863488817892,-26.265108,2.0,2.0,0.1
33,313,0.0,0,0.0,0,0,0,0.31150537999999994,0.31150538,21.630304338658146,24.750376,0.09748700870607029,0.10709877,-27.063898428115014,-26.913013,2.0,2.0,0.1
34,313,0.0,0,0.0,0,0,0,0.30514464,0.30514464,21.610303878594248,24.730375,0.09594683230670928,0.09442048,-27.17200838019169,-26.424768,2.0,2.0,0.1
35,313,0.0,0,0.0,0,0,0,0.3170829,0.3170829,21.630304338658146,24.750376,0.09817203848242811,0.09664955,-27.049398792332273,-27.704805,2.0,2.0,0.1
36,313,0.0,0,0.0,0,0,0,0.27891055,0.27891055,21.620304111821085,24.740376,0.09150152810223641,0.0,-27.313450223642175,-29.070524,2.0,2.0,0.1
37,313,0.0,0,0.0,0,0,0,0.31305468,0.31305468,21.640304568690095,24.760376,0.09656453893610224,0.09766256,-27.099352453674122,-26.909264,2.0,2.0,0.1
38,313,0.0,0,0.0,0,0,0,0.280745,0.280745,21.580303194888177,24.700375,0.09216998703514376,0.08743254,-27.336188025559103,-28.199383,2.0,2.0,0.1
39,313,0.0,0,0.0,0,0,0,0.30466318,0.30466318,21.640304568690095,24.760376,0.09564150947923322,0.095189415,-27.056648999999997,-26.689646,2.0,2.0,0.1
40,313,0.0,0,0.0,0,0,0,0.30106939999999993,0.3010694,21.630304338658146,24.750376,0.09539788744408946,0.08592031,-27.207851345047924,-28.040548,2.0,2.0,0.1
41,313,0.0,0,0.0,0,0,0,0.30354792,0.30354792,21.620304111821085,24.740376,0.09828810457507987,0.09377702,-27.061728306709266,-27.896103,2.0,2.0,0.1
