condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,0,1.0,1,16,1.0,0.39999998,0.39999998,1.0136,0.09691701,0.0,0.0,0.0,0.0,0.0,-26.759592,26.0,2.2299645,0.74332154,0.21,0.0,100,0.13583107,-0.00044846226,53.010834,1.6093311,26.488874,1.0,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,1,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0660475,0.08589195,0.0,0.0,0.0,0.0,0.0,-28.03394,26.000002,2.3453515,0.7817838,0.192,0.0,125,0.1645157,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,2,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0531887,0.088473104,0.0,0.0,0.0,0.0,0.0,-26.844364,26.000002,2.3170614,0.7723538,0.08800001,0.0,125,0.1282879,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,3,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0443095,0.09030056,0.0,0.0,0.0,0.0,0.0,-28.034758,26.000002,2.2975268,0.7658423,0.16000001,0.0,125,0.1552205,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,4,0.0,1,16,0.39999998,0.39999998,0.39999998,0.99740744,0.10059874,0.0,0.0,0.0,0.0,0.0,-25.969633,26.000002,2.1943402,0.73144674,0.15200001,0.0,125,0.15726212,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,5,0.0,1,16,0.39999998,0.39999998,0.39999998,0.9620154,0.10914017,0.0,0.0,0.0,0.0,0.0,-25.37026,26.000002,2.116476,0.705492,0.224,0.0,125,0.14500232,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,6,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0717516,0.084771216,0.0,0.0,0.0,0.0,0.0,-27.591475,26.000002,2.3579006,0.7859669,0.128,0.0,125,0.14511873,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,7,0.0,1,16,0.39999998,0.39999998,0.39999998,0.94160116,0.11439284,0.0,0.0,0.0,0.0,0.0,-25.171774,26.000002,2.071564,0.69052136,0.2,0.0,125,0.120338835,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,8,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0369567,0.09184242,0.0,0.0,0.0,0.0,0.0,-26.798113,26.000002,2.2813501,0.76045007,0.120000005,0.0,125,0.17609945,,,,,,,,,0
anchor_short_fail__base__t400k__a0p00__c0p60,reproduce_baseline,base,short,0.0,0.6,42,9,0.0,1,16,0.39999998,0.39999998,0.39999998,1.0988276,0.07964755,0.0,0.0,0.0,0.0,0.0,-28.738392,26.000002,2.417469,0.805823,0.136,0.0,125,0.16881458,,,,,,,,,0
