seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.11015651000000001,0.11015651,32.760235549520765,37.440098,0.030512381063897764,0.0,-27.15520047923323,-27.305449,2.0,2.0,0.12
31,313,0.0,0,0.0,0,0,0,0.10794506000000002,0.10794506,32.760235549520765,37.440098,0.029189513309904155,0.0,-27.126944658146968,-28.137232,2.0,2.0,0.12
32,313,0.0,0,0.0,0,0,0,0.14132038,0.14132038,32.760235549520765,37.440098,0.04777248409265176,0.0,-26.972306680511185,-26.217617,2.0,2.0,0.12
33,313,0.0,0,0.0,0,0,0,0.1857844,0.1857844,32.760235549520765,37.440098,0.05635373380511182,0.11258694,-26.9161945399361,-26.563076,2.0,2.0,0.12
34,313,0.0,0,0.0,0,0,0,0.1325319,0.1325319,32.760235549520765,37.440098,0.040092780581469645,0.0,-27.093088038338657,-26.269455,2.0,2.0,0.12
35,313,0.0,0,0.0,0,0,0,0.12792211999999997,0.12792212,32.760235549520765,37.440098,0.051872271201277964,0.10336237,-26.995511674121403,-27.529972,2.0,2.0,0.12
36,313,0.0,0,0.0,0,0,0,0.06421745,0.06421745,32.760235549520765,37.440098,0.027660857801916933,0.0,-27.185618463258784,-29.064949,2.0,2.0,0.12
37,313,0.0,0,0.0,0,0,0,0.1397164,0.1397164,32.760235549520765,37.440098,0.03766494815335463,0.0,-27.087305766773163,-26.79452,2.0,2.0,0.12
38,313,0.0,0,0.0,0,0,0,0.06135406,0.06135406,32.760235549520765,37.440098,0.02197250208626198,0.0,-27.284598338658142,-27.9971,2.0,2.0,0.12
39,313,0.0,0,0.0,0,0,0,0.17423535999999998,0.17423536,32.760235549520765,37.440098,0.03512590345047923,0.0,-27.01934304472843,-26.622894,2.0,2.0,0.12
40,313,0.0,0,0.0,0,0,0,0.10423594999999998,0.10423595,32.760235549520765,37.440098,0.03422096050159744,0.0,-27.13882673162939,-27.863241,2.0,2.0,0.12
41,313,0.0,0,0.0,0,0,0,0.10262389000000004,0.10262389,32.760235549520765,37.440098,0.039478832936102236,0.0,-27.105253361022363,-27.90858,2.0,2.0,0.12
