mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,0,1.0,1,1.0,0.4829597,1.00588,0.09865519,0.09865519,1.0,0.0029596556,0.03,-26.322607,2.2129803,0.7376601,0.17,0.0,0.1406561,0.0,0.0,3200
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,1,0.0,1,0.4829597,0.4857248,1.0354067,0.092170775,0.092170775,1.0,0.0027651233,0.03,-27.19927,2.2779403,0.75931346,0.24000001,0.0,0.13793102,0.0,0.0,6400
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,2,0.0,1,0.4857248,0.48867583,1.0071491,0.09836733,0.09836733,1.0,0.00295102,0.03,-26.194538,2.2157724,0.73859084,0.14400001,0.0,0.13197419,0.0,0.0,9600
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,3,0.0,1,0.48867583,0.49159232,1.0122601,0.09721648,0.09721648,1.0,0.0029164944,0.03,-27.633377,2.2270167,0.7423389,0.128,0.0,0.13576084,0.0,0.0,12800
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,4,0.0,1,0.49159232,0.4939891,1.0974922,0.079892814,0.079892814,1.0,0.0023967843,0.03,-28.188751,2.414531,0.80484366,0.08800001,0.0,0.15450762,0.0,0.0,16000
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,5,0.0,1,0.4939891,0.4966837,1.0466297,0.089819446,0.089819446,1.0,0.0026945833,0.03,-26.988216,2.3026311,0.76754373,0.136,0.0,0.16196236,0.0,0.0,19200
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,6,0.0,1,0.4966837,0.49935278,1.0507562,0.08897004,0.08897004,1.0,0.002669101,0.03,-27.656729,2.31171,0.77057,0.216,0.008,0.17696102,0.0,0.0,22400
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,7,0.0,1,0.49935278,0.5019317,1.0656749,0.08596568,0.08596568,1.0,0.0025789703,0.03,-27.900366,2.3445315,0.78151053,0.16000001,0.008,0.16155519,0.0,0.0,25600
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,8,0.0,1,0.5019317,0.50463074,1.0459157,0.08996722,0.08996722,1.0,0.0026990166,0.03,-27.921463,2.3010604,0.76702017,0.128,0.0,0.14855208,0.0,0.0,28800
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,9,0.0,1,0.50463074,0.5070357,1.0960239,0.0801634,0.0801634,1.0,0.002404902,0.03,-27.883888,2.4113007,0.8037669,0.112,0.0,0.15599056,0.0,0.0,32000
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,10,0.0,1,0.5070357,0.5098429,1.0288476,0.09357341,0.09357341,1.0,0.002807202,0.03,-27.88518,2.26351,0.75450337,0.14400001,0.0,0.16437222,0.0,0.0,35200
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,11,0.0,1,0.5098429,0.5125372,1.0466714,0.08981082,0.08981082,1.0,0.0026943246,0.03,-27.303017,2.3027232,0.7675744,0.16000001,0.0,0.16330014,0.0,0.0,38400
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,12,0.0,1,0.5125372,0.5155571,0.99712265,0.10066474,0.10066474,1.0,0.0030199422,0.03,-26.583736,2.1937137,0.7312379,0.136,0.0,0.13317695,0.0,0.0,41600
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,13,0.0,1,0.5155571,0.5181047,1.0709963,0.08491876,0.08491876,1.0,0.0025475628,0.03,-27.853718,2.3562388,0.78541297,0.21,0.0,0.17836505,0.0,0.0,44800
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,14,0.0,1,0.5181047,0.52065325,1.0708281,0.08495167,0.08495167,1.0,0.00254855,0.03,-27.805075,2.3558688,0.78528965,0.104,0.0,0.12366841,0.0,0.0,48000
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,15,1.0,2,0.52065325,0.003204358,1.0703952,0.085036375,0.085036375,1.0,0.0025510911,0.03,-28.088007,2.3549166,0.7849722,0.136,0.0,0.15789673,0.0,0.0,51200
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,16,0.0,2,0.003204358,0.0058739106,1.0506828,0.088985085,0.088985085,1.0,0.0026695526,0.03,-27.773691,2.3115482,0.7705161,0.120000005,0.0,0.15840343,0.0,0.0,54400
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,17,0.0,2,0.0058739106,0.008659571,1.0321931,0.09285535,0.09285535,1.0,0.0027856603,0.03,-27.69108,2.2708702,0.75695676,0.120000005,0.0,0.13626091,0.0,0.0,57600
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,18,0.0,2,0.008659571,0.011473568,1.0277976,0.093799904,0.093799904,1.0,0.002813997,0.03,-26.161423,2.2611997,0.7537333,0.080000006,0.0,0.13744731,0.0,0.0,60800
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,19,0.0,2,0.011473568,0.014076347,1.0616839,0.086759314,0.086759314,1.0,0.0026027793,0.03,-27.390585,2.3357513,0.77858377,0.136,0.0,0.15070285,0.0,0.0,64000
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,20,0.0,2,0.014076347,0.016779829,1.045198,0.09011603,0.09011603,1.0,0.002703481,0.03,-27.87798,2.2994814,0.7664938,0.112,0.0,0.15063468,0.0,0.0,67200
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,21,0.0,2,0.016779829,0.019935733,0.9779974,0.105196804,0.105196804,1.0,0.0031559041,0.03,-26.13492,2.1516373,0.71721244,0.104,0.0,0.12780677,0.0,0.0,70400
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,22,0.0,2,0.019935733,0.022688406,1.0373667,0.09175575,0.09175575,1.0,0.0027526724,0.03,-27.228193,2.2822523,0.7607508,0.16000001,0.0,0.14081824,0.0,0.0,73600
hardzero_only__c0p52__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,36,23,0.0,2,0.022688406,0.02548807,1.0300155,0.0933221,0.0933221,1.0,0.002799663,0.03,-27.356384,2.2660792,0.75535977,0.136,0.0,0.15936893,0.0,0.0,76800
