condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,0,1.0,1,16,1.0,0.42000002,0.42000002,1.0316244,0.092976995,0.0,0.0,0.0,0.0,0.0,-27.154165,26.0,2.269619,0.7565397,0.17,0.0,100,0.1458518,-0.0005117337,51.6522,1.6093417,25.809494,1.0,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,1,0.0,1,16,0.42000002,0.42000002,0.42000002,0.9919609,0.10186831,0.0,0.0,0.0,0.0,0.0,-27.146132,26.000002,2.1823575,0.7274525,0.18400002,0.0,125,0.15669166,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,2,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0043511,0.09900312,0.0,0.0,0.0,0.0,0.0,-26.81917,26.000002,2.2096167,0.7365389,0.18400002,0.0,125,0.15289995,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,3,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0635402,0.08638926,0.0,0.0,0.0,0.0,0.0,-27.830223,26.000002,2.3398352,0.7799451,0.16000001,0.0,125,0.1576874,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,4,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0300264,0.09331974,0.0,0.0,0.0,0.0,0.0,-27.17314,26.000002,2.2661035,0.7553679,0.16800001,0.0,125,0.15459773,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,5,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0304375,0.09323147,0.0,0.0,0.0,0.0,0.0,-27.639652,26.000002,2.2670078,0.7556693,0.14400001,0.0,125,0.14563622,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,6,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0529857,0.08851448,0.0,0.0,0.0,0.0,0.0,-26.774103,26.000002,2.3166146,0.7722049,0.14400001,0.0,125,0.13565944,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,7,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0066125,0.09848894,0.0,0.0,0.0,0.0,0.0,-26.156387,26.000002,2.2145917,0.73819727,0.192,0.0,125,0.14010674,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,8,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0521152,0.08869208,0.0,0.0,0.0,0.0,0.0,-27.595798,26.000002,2.3146996,0.77156657,0.136,0.0,125,0.13989456,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,9,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0408756,0.091017395,0.0,0.0,0.0,0.0,0.0,-28.226757,26.000002,2.2899718,0.76332396,0.16000001,0.0,125,0.14430937,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,10,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0733482,0.08446014,0.0,0.0,0.0,0.0,0.0,-27.638506,26.000002,2.361413,0.7871377,0.14400001,0.008,125,0.15317959,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,11,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0743172,0.084271885,0.0,0.0,0.0,0.0,0.0,-27.454891,26.000002,2.363545,0.78784835,0.080000006,0.0,125,0.1880604,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,12,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0537992,0.088348836,0.0,0.0,0.0,0.0,0.0,-27.309431,26.000002,2.3184044,0.7728015,0.216,0.0,125,0.14272495,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,13,0.0,1,16,0.42000002,0.42000002,0.42000002,1.05521,0.088062294,0.0,0.0,0.0,0.0,0.0,-27.662504,26.0,2.3215084,0.77383614,0.17,0.0,100,0.15471883,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,14,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0088801,0.09797604,0.0,0.0,0.0,0.0,0.0,-27.130276,26.000002,2.2195807,0.73986024,0.120000005,0.0,125,0.12998743,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,15,0.0,1,16,0.42000002,0.42000002,0.42000002,0.9720388,0.10665008,0.0,0.0,0.0,0.0,0.0,-27.003435,26.000002,2.138528,0.7128427,0.15200001,0.0,125,0.13468532,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,16,0.0,1,16,0.42000002,0.42000002,0.42000002,0.9868529,0.10307351,0.0,0.0,0.0,0.0,0.0,-26.506153,26.000002,2.1711197,0.7237066,0.17600001,0.0,125,0.14066477,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,17,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0553254,0.08803891,0.0,0.0,0.0,0.0,0.0,-27.122614,26.000002,2.3217623,0.7739208,0.14400001,0.008,125,0.14001274,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,18,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0299251,0.09334152,0.0,0.0,0.0,0.0,0.0,-27.583,26.000002,2.2658806,0.75529355,0.17600001,0.0,125,0.1254252,,,,,,,,,0
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,19,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0114814,0.09739096,0.0,0.0,0.0,0.0,0.0,-26.64812,26.000002,2.2253034,0.7417678,0.14400001,0.0,125,0.11818072,,,,,,-24.373903,0.02,0.61378145,1
anchor_fragile_full__base__t1m__a0p00__c0p58,reproduce_baseline,base,full,0.0,0.58,54,20,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0240793,0.09460642,0.0,0.0,0.0,0.0,0.0,-27.100603,26.000002,2.2530196,0.75100654,0.208,0.0,125,0.1557538,,,,,,,,,0
