seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.15241061,0.15241061,21.840309146964856,24.96038,0.0962091817795527,0.09158165,-27.15520047923323,-27.305449,2.0,2.0,0.03
31,313,0.0,0,0.0,0,0,0,0.15141509999999997,0.1514151,21.840309146964856,24.96038,0.09578570199041533,0.08768905,-27.126944658146968,-28.137232,2.0,2.0,0.03
32,313,0.0,0,0.0,0,0,0,0.1554399,0.1554399,21.840309146964856,24.96038,0.09927223350159745,0.0992279,-26.972306680511185,-26.217617,2.0,2.0,0.03
33,313,0.0,0,0.0,0,0,0,0.15855124999999998,0.15855125,21.840309146964856,24.96038,0.10076387552076678,0.11258694,-26.9161945399361,-26.563076,2.0,2.0,0.03
34,313,0.0,0,0.0,0,0,0,0.15480646,0.15480646,21.840309146964856,24.96038,0.09803808548242812,0.09743395,-27.093088038338657,-26.269455,2.0,2.0,0.03
35,313,0.0,0,0.0,0,0,0,0.1554691,0.1554691,21.840309146964856,24.96038,0.09905470194888179,0.10336237,-26.995511674121403,-27.529972,2.0,2.0,0.03
36,313,0.0,0,0.0,0,0,0,0.14749081,0.14749081,21.840309146964856,24.96038,0.09507011765495207,0.0,-27.185618463258784,-29.064949,2.0,2.0,0.03
37,313,0.0,0,0.0,0,0,0,0.15435768999999996,0.15435769,21.840309146964856,24.96038,0.09698998604153354,0.09773108,-27.087305766773163,-26.79452,2.0,2.0,0.03
38,313,0.0,0,0.0,0,0,0,0.14675316000000002,0.14675316,21.840309146964856,24.96038,0.09381760979233227,0.08885282,-27.284598338658142,-27.9971,2.0,2.0,0.03
39,313,0.0,0,0.0,0,0,0,0.15155797000000001,0.15155797,21.840309146964856,24.96038,0.09619273745047922,0.09527463,-27.01934304472843,-26.622894,2.0,2.0,0.03
40,313,0.0,0,0.0,0,0,0,0.15066852,0.15066852,21.840309146964856,24.96038,0.09704779111821085,0.09162153,-27.13882673162939,-27.863241,2.0,2.0,0.03
41,313,0.0,0,0.0,0,0,0,0.15199026000000002,0.15199026,21.840309146964856,24.96038,0.09781099957827477,0.09459475,-27.105253361022363,-27.90858,2.0,2.0,0.03
