seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.012779552715654952,1,4.0,4,1,0,0.3090463339217252,0.5091097,0.0,0.0,0.12897213555271564,0.13963734,-25.578524405750798,-25.368649,9.175718849840255,11.0,0.061
31,313,0.012779552715654952,1,4.0,4,1,0,0.3017847420830671,0.26348382,0.0,0.0,0.11940976433546327,0.11376507,-25.920235974440896,-26.703903,7.942492012779553,10.0,0.061
32,313,0.012779552715654952,1,4.0,4,1,0,0.31176868623642173,0.56221753,0.0,0.0,0.13392164938658147,0.13939333,-25.33608752715655,-24.616083,11.20447284345048,13.0,0.061
33,313,0.012779552715654952,1,4.0,4,1,0,0.2956921571102236,0.41160408,0.0,0.0,0.13759942508306708,0.15042704,-25.1625251086262,-24.410318,11.904153354632587,14.0,0.061
34,313,0.012779552715654952,1,4.0,4,1,0,0.3002728401964856,0.25742316,0.0,0.0,0.11996314210543133,0.13003932,-25.98445964217252,-24.860025,9.926517571884984,12.0,0.061
35,313,0.012779552715654952,1,4.0,4,1,0,0.29800568089297125,0.48036242,0.0,0.0,0.14082675301916933,0.14962804,-25.075475501597445,-25.126451,10.958466453674122,13.0,0.061
36,313,0.003194888178913738,1,1.0,1,0,1,0.3019081950041534,0.27144837,0.0,0.0,0.039529448884984025,0.0,-27.08789006709265,-29.09172,3.2236421725239617,4.0,0.061
37,313,0.01597444089456869,1,5.0,4,1,0,0.2888012825623003,0.31431818,0.0,0.0,0.13968525833865816,0.13367388,-25.102181405750798,-25.36679,11.722044728434504,14.0,0.061
38,313,0.003194888178913738,1,1.0,1,0,1,0.24400137954952075,0.39504793,0.0,0.0,0.022519962833865814,0.0,-27.255636456869013,-28.023493,2.8434504792332267,3.0,0.061
39,313,0.009584664536741214,1,3.0,3,1,0,0.3079711173578275,0.36493042,0.0,0.0,0.09666020739616614,0.111181565,-26.38692131309904,-25.783983,6.4185303514377,8.0,0.061
40,313,0.012779552715654952,1,4.0,4,1,0,0.3023002093578275,0.44758022,0.0,0.0,0.12206404084984028,0.124908485,-25.867069581469647,-25.878517,8.207667731629392,10.0,0.061
41,313,0.009584664536741214,1,3.0,3,1,0,0.3143058348198083,0.52506965,0.0,0.0,0.10568366019488819,0.11063603,-26.320648220447282,-26.97266,6.552715654952077,8.0,0.061
42,313,0.01597444089456869,1,5.0,4,1,0,0.2903446212460064,0.42996377,0.0,0.0,0.14499157162939294,0.14725284,-24.929732619808306,-25.19735,10.811501597444089,13.0,0.061
43,313,0.012779552715654952,1,4.0,4,1,0,0.3003503126651757,0.1747181,0.0,0.0,0.11406260931629392,0.13324946,-26.04298094249201,-24.982208,7.8083067092651754,10.0,0.061
