condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,0,1.0,1,16,1.0,0.39999998,0.39999998,1.0860325,0.08202901,0.0,0.0,0.0,0.0,0.0,-27.772104,26.0,2.3893192,0.79643977,0.07,0.0,100,0.21411662,-0.0006294716,57.88858,1.6093302,28.927567,1.0,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,1,1.0,2,32,0.39999998,-0.20000005,-0.20000005,1.0261097,0.09416516,0.0,0.0,0.0,0.0,0.20000005,-26.503872,26.000002,2.2574863,0.75249547,0.128,0.0,125,0.15564354,-0.00033350324,49.13427,1.6088785,24.550713,1.0,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,2,0.0,2,32,-0.20000005,-0.20400006,-0.20400006,1.003309,0.09924095,0.0,0.0,0.0040000007,0.20000005,0.20400006,-26.655481,26.000002,2.207324,0.7357747,0.2,0.0,125,0.1795344,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,3,0.0,2,32,-0.20400006,-0.20808005,-0.20808005,1.091761,0.08095413,0.0,0.0,0.004080001,0.20400006,0.20808005,-28.616402,26.000002,2.4019222,0.80064076,0.16000001,0.0,125,0.15995726,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,4,0.0,2,32,-0.20808005,-0.21224165,-0.21224165,1.0073352,0.0983252,0.0,0.0,0.004161601,0.20808005,0.21224165,-26.924683,26.000002,2.2161818,0.7387273,0.16800001,0.0,125,0.14347363,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,5,0.0,2,32,-0.21224165,-0.21648648,-0.21648648,1.0255839,0.09427926,0.0,0.0,0.004244833,0.21224165,0.21648648,-27.588594,26.000002,2.2563295,0.7521099,0.18400002,0.0,125,0.15653786,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,6,0.0,2,32,-0.21648648,-0.22081621,-0.22081621,0.9866771,0.103115246,0.0,0.0,0.0043297294,0.21648648,0.22081621,-26.566933,26.000002,2.170733,0.7235777,0.16800001,0.0,125,0.1327693,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,7,0.0,2,32,-0.22081621,-0.22523254,-0.22523254,0.969021,0.10739374,0.0,0.0,0.004416324,0.22081621,0.22523254,-26.524912,26.000002,2.1318889,0.71062964,0.17600001,0.0,125,0.14091736,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,8,0.0,2,32,-0.22523254,-0.22973719,-0.22973719,1.0210866,0.09526062,0.0,0.0,0.004504651,0.22523254,0.22973719,-27.153412,26.000002,2.2464354,0.74881184,0.224,0.0,125,0.1702904,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,9,0.0,2,32,-0.22973719,-0.23433194,-0.23433194,1.0525619,0.0886009,0.0,0.0,0.0045947437,0.22973719,0.23433194,-27.636871,26.000002,2.3156824,0.77189416,0.192,0.0,125,0.18185546,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,10,0.0,2,32,-0.23433194,-0.23901857,-0.23901857,1.0156362,0.09646368,0.0,0.0,0.0046866387,0.23433194,0.23901857,-26.439877,26.000002,2.2344444,0.7448148,0.120000005,0.0,125,0.17400353,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,11,0.0,2,32,-0.23901857,-0.24379894,-0.24379894,1.0010315,0.09976276,0.0,0.0,0.004780371,0.23901857,0.24379894,-27.72978,26.000002,2.2023132,0.7341044,0.128,0.0,125,0.15280566,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,12,0.0,2,32,-0.24379894,-0.24867491,-0.24867491,0.9783341,0.10511527,0.0,0.0,0.004875979,0.24379894,0.24867491,-27.457052,26.000002,2.152378,0.7174594,0.16800001,0.0,125,0.15799668,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,13,0.0,2,32,-0.24867491,-0.2536484,-0.2536484,1.0366141,0.09191491,0.0,0.0,0.004973498,0.24867491,0.2536484,-27.155104,26.0,2.2805965,0.76019883,0.17,0.0,100,0.17227806,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,14,0.0,2,32,-0.2536484,-0.25872138,-0.25872138,1.076795,0.08379248,0.0,0.0,0.005072968,0.2536484,0.25872138,-27.470295,26.000002,2.3689964,0.78966546,0.128,0.0,125,0.16638792,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,15,0.0,2,32,-0.25872138,-0.2638958,-0.2638958,1.0219282,0.09507619,0.0,0.0,0.0051744273,0.25872138,0.2638958,-26.604822,26.000002,2.248287,0.749429,0.2,0.0,125,0.18386465,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,16,0.0,2,32,-0.2638958,-0.2691737,-0.2691737,0.9538161,0.11122025,0.0,0.0,0.005277916,0.2638958,0.2691737,-25.33906,26.000002,2.0984373,0.6994791,0.23200001,0.0,125,0.15009464,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,17,0.0,2,32,-0.2691737,-0.27455717,-0.27455717,0.9912101,0.102044575,0.0,0.0,0.0053834743,0.2691737,0.27455717,-26.046587,26.000002,2.1807058,0.72690195,0.15200001,0.0,125,0.1368139,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,18,0.0,2,32,-0.27455717,-0.2800483,-0.2800483,1.0465598,0.08983388,0.0,0.0,0.0054911436,0.27455717,0.2800483,-27.209154,26.000002,2.3024776,0.76749253,0.14400001,0.0,125,0.15398367,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,19,0.0,2,32,-0.2800483,-0.28564927,-0.28564927,1.020963,0.09528774,0.0,0.0,0.005600966,0.2800483,0.28564927,-27.458199,26.000002,2.2461634,0.7487211,0.14400001,0.0,125,0.16613136,,,,,,-24.588858,0.0,0.6535825,1
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,20,0.0,2,32,-0.28564927,-0.29136226,-0.29136226,0.97225374,0.106597304,0.0,0.0,0.005712985,0.28564927,0.29136226,-27.29593,26.000002,2.139001,0.7130003,0.16000001,0.0,125,0.14867704,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,21,0.0,2,32,-0.29136226,-0.2971895,-0.2971895,0.93802094,0.11533977,0.0,0.0,0.005827245,0.29136226,0.2971895,-26.143959,26.000002,2.0636873,0.6878958,0.216,0.008,125,0.13681076,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,22,0.0,2,32,-0.2971895,-0.3031333,-0.3031333,0.97559804,0.10577961,0.0,0.0,0.00594379,0.2971895,0.3031333,-26.378498,26.000002,2.1463585,0.71545285,0.16000001,0.0,125,0.13276924,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,23,0.0,2,32,-0.3031333,-0.30919597,-0.30919597,1.0538124,0.088346146,0.0,0.0,0.006062666,0.3031333,0.30919597,-28.531681,26.000002,2.3184335,0.7728112,0.14400001,0.0,125,0.20703894,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,24,0.0,2,32,-0.30919597,-0.3153799,-0.3153799,0.9781875,0.10515077,0.0,0.0,0.006183919,0.30919597,0.3153799,-26.63991,26.000002,2.1520555,0.71735185,0.208,0.0,125,0.13904458,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,25,0.0,2,32,-0.3153799,-0.3216875,-0.3216875,1.0225632,0.094937265,0.0,0.0,0.0063075977,0.3153799,0.3216875,-27.26427,26.000002,2.249684,0.74989474,0.2,0.0,125,0.1865921,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,26,0.0,2,32,-0.3216875,-0.32812124,-0.32812124,1.0223608,0.09498153,0.0,0.0,0.0064337496,0.3216875,0.32812124,-27.902205,26.0,2.2492387,0.74974626,0.19,0.0,100,0.1709558,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,27,0.0,2,32,-0.32812124,-0.33468366,-0.33468366,1.0344452,0.09237506,0.0,0.0,0.006562425,0.32812124,0.33468366,-27.06176,26.000002,2.2758248,0.7586083,0.15200001,0.0,125,0.16087373,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,28,0.0,2,32,-0.33468366,-0.34137732,-0.34137732,1.0373873,0.09175142,0.0,0.0,0.006693673,0.33468366,0.34137732,-27.784935,26.000002,2.2822976,0.7607659,0.16800001,0.0,125,0.18588512,,,,,,,,,0
