condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,0,1.0,1,16,1.0,0.43935487,0.43935487,0.9784316,0.10509168,0.019354839,0.019354839,0.0,0.0,0.0,-26.905869,26.0,2.1525924,0.71753085,0.16,0.0,100,0.15309967,-0.0007294551,53.192673,1.609257,26.579514,1.0,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,1,0.0,1,16,0.43935487,0.45870972,0.45870972,1.0386872,0.09147718,0.019354839,0.019354839,0.0,0.0,0.0,-28.1786,26.000002,2.2851574,0.76171917,0.136,0.0,125,0.15621023,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,2,0.0,1,16,0.45870972,0.47806457,0.47806457,1.0090334,0.09794144,0.019354839,0.019354839,0.0,0.0,0.0,-26.215841,26.000002,2.219918,0.7399727,0.17600001,0.0,125,0.12079641,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,3,0.0,1,16,0.47806457,0.49741942,0.49741942,1.0662324,0.08585538,0.019354839,0.019354839,0.0,0.0,0.0,-28.104626,26.000002,2.3457582,0.7819194,0.136,0.0,125,0.17098643,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,4,0.0,1,16,0.49741942,0.51677424,0.51677424,1.0311053,0.09308821,0.019354839,0.019354839,0.0,0.0,0.0,-28.326324,26.000002,2.268477,0.756159,0.18400002,0.0,125,0.15111215,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,5,0.0,1,16,0.51677424,0.53612906,0.53612906,1.0306054,0.09319542,0.019354839,0.019354839,0.0,0.0,0.0,-27.362053,26.000002,2.2673771,0.7557924,0.15200001,0.0,125,0.14779705,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,6,0.0,1,16,0.53612906,0.5554839,0.5554839,1.0090059,0.09794765,0.019354839,0.019354839,0.0,0.0,0.0,-27.41903,26.000002,2.2198572,0.73995245,0.14400001,0.0,125,0.1463013,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,7,0.0,1,16,0.5554839,0.5748387,0.5748387,1.0340996,0.092448615,0.019354839,0.019354839,0.0,0.0,0.0,-27.903862,26.000002,2.2750645,0.75835484,0.120000005,0.0,125,0.16957858,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,8,0.0,1,16,0.5748387,0.5941935,0.5941935,0.9850344,0.10350602,0.019354839,0.019354839,0.0,0.0,0.0,-26.4604,26.000002,2.167119,0.722373,0.17600001,0.0,125,0.13489191,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,9,1.0,2,32,0.5941935,0.033548374,0.033548374,1.0184686,0.095836595,0.019354839,0.019354839,0.0,0.0,0.0,-27.238197,26.000002,2.2406757,0.7468919,0.16800001,0.0,125,0.15351276,-0.0005729975,49.770615,1.6086059,24.868649,1.0,,,,0
