update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_raw_mean,energy_E_raw_median,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_min,energy_E_raw_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,support_s_mean,support_s_median,support_s_q25,support_s_q75,support_s_min,support_s_max,debt_charge_mean,debt_charge_median,debt_charge_q25,debt_charge_q75,debt_charge_min,debt_charge_max,debt_level_pre_mean,debt_level_pre_median,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_min,debt_level_pre_max,debt_level_post_mean,debt_level_post_median,debt_level_post_q25,debt_level_post_q75,debt_level_post_min,debt_level_post_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max,eval_return_end_mean_cp_mean,eval_return_end_mean_cp_median,eval_return_end_mean_cp_q25,eval_return_end_mean_cp_q75,eval_return_end_mean_cp_min,eval_return_end_mean_cp_max,eval_csr_cp_mean,eval_csr_cp_median,eval_csr_cp_q25,eval_csr_cp_q75,eval_csr_cp_min,eval_csr_cp_max,eval_dbar_end_cp_mean,eval_dbar_end_cp_median,eval_dbar_end_cp_q25,eval_dbar_end_cp_q75,eval_dbar_end_cp_min,eval_dbar_end_cp_max,eval_checkpoint_flag_mean,eval_checkpoint_flag_median,eval_checkpoint_flag_q25,eval_checkpoint_flag_q75,eval_checkpoint_flag_min,eval_checkpoint_flag_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.19046436,0.19141723,0.18568488210439682,0.19558827206492424,0.17327121,0.20509171,0.19046436,0.19141723,0.18568488210439682,0.19558827206492424,0.17327121,0.20509171,1.0447404,1.0389724,1.019595742225647,1.0671032071113586,0.9784316,1.1350667,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.536686,-27.520226,-28.134815216064453,-26.98329782485962,-28.931879,-26.322607,26.0,26.0,26.0,26.0,26.0,26.0,2.2984748,2.2857847,2.2431554794311523,2.3476739525794983,2.1525924,2.4971967,0.7661583,0.7619283,0.7477184981107712,0.7825580090284348,0.71753085,0.8323989,0.1528125,0.155,0.13749999925494194,0.17000000178813934,0.07,0.22,0.0003125,0.0,0.0,0.0,0.0,0.01,100.0,100.0,100.0,100.0,100,100,0.16019984,0.15729368,0.14264825358986855,0.17653607577085495,0.12611115,0.21411662,-0.00062344386,-0.0005861651,-0.000693605121341534,-0.0005102295253891498,-0.0010959309,-0.00039915967,54.970543,54.51586,52.835710525512695,57.48189163208008,50.188774,60.54487,1.6093216,1.6093243,1.6093030273914337,1.6093438565731049,1.6092222,1.6093736,27.468555,27.241207,26.401345252990723,28.72396993637085,25.077732,30.255863,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.19046436,0.19141723,0.18568488210439682,0.19558827206492424,0.17327121,0.20509171,0.28351027,0.28332353,0.27629855275154114,0.29095233231782913,0.25746918,0.30594727,0.28351027,0.28332353,0.27629855275154114,0.29095233231782913,0.25746918,0.30594727,1.0326464,1.0337217,1.017987310886383,1.0498546361923218,0.9528673,1.1076319,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.370176,-27.4151,-27.99587631225586,-27.04631996154785,-28.46121,-25.809076,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2718675,2.2742329,2.239616811275482,2.309726297855377,2.09635,2.4368389,0.7572892,0.7580777,0.7465389370918274,0.7699088007211685,0.69878334,0.81227964,0.1595,0.164,0.1420000083744526,0.18400001525878906,0.072000004,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1601295,0.15757054,0.14520731195807457,0.17407873272895813,0.1316319,0.20499255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
2,0.03125,0.0,0.0,0.0,0.0,1.0,1.03125,1.0,1.0,1.0,1,2,16.5,16.0,16.0,16.0,16,32,0.28351027,0.28332353,0.27629855275154114,0.29095233231782913,0.25746918,0.30594727,0.34687132,0.37320417,0.3651561066508293,0.38253016024827957,-0.5122849,0.4030209,0.34687132,0.37320417,0.3651561066508293,0.38253016024827957,-0.5122849,0.4030209,1.0403606,1.0343337,1.011101245880127,1.0615804493427277,0.9722444,1.1336937,0.091486074,0.09239912,0.0867819432169199,0.09747659415006638,0.07350321,0.10659962,0.091486074,0.09239912,0.0867819432169199,0.09747659415006638,0.07350321,0.10659962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016008902,0.0,0.0,0.0,0.0,0.5122849,-27.39404,-27.259575,-28.036320686340332,-26.758962631225586,-29.294966,-25.657452,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2888389,2.2755795,2.2244672179222107,2.3355236053466797,2.1389804,2.494176,0.7629463,0.75852656,0.7414890974760056,0.778507873415947,0.7129935,0.831392,0.15325001,0.16000001,0.1340000070631504,0.17800001427531242,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.16085948,0.1631864,0.14198491722345352,0.17633040994405746,0.120542884,0.20997947,-0.0003217811,-0.0003217811,-0.00032178108813241124,-0.00032178108813241124,-0.0003217811,-0.0003217811,56.22218,56.22218,56.2221794128418,56.2221794128418,56.22218,56.22218,1.6086099,1.6086099,1.608609914779663,1.608609914779663,1.6086099,1.6086099,28.09468,28.09468,28.094680786132812,28.094680786132812,28.09468,28.09468,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
3,0.96875,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.34687132,0.37320417,0.3651561066508293,0.38253016024827957,-0.5122849,0.4030209,-0.43235773,-0.42886743,-0.4421004503965378,-0.4217899218201637,-0.4746454,-0.39619595,-0.43235773,-0.42886743,-0.4421004503965378,-0.4217899218201637,-0.4746454,-0.39619595,1.033215,1.0247964,1.0019554197788239,1.0680645406246185,0.9659999,1.0898831,0.0929661,0.09445259,0.08549623191356659,0.099550761282444,0.08130493,0.10814341,0.0929661,0.09445259,0.08549623191356659,0.099550761282444,0.08130493,0.10814341,0.0,0.0,0.0,0.0,0.0,0.0,0.00032017805,0.0,0.0,0.0,0.0,0.010245698,0.016008902,0.0,0.0,0.0,0.0,0.5122849,0.43235773,0.42886743,0.4217899218201637,0.4421004503965378,0.39619595,0.4746454,-27.504501,-27.594276,-27.99046754837036,-27.023823261260986,-29.322617,-25.936377,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2731185,2.2545972,2.204345941543579,2.3497889041900635,2.1252422,2.3977907,0.7577062,0.7515324,0.7347819805145264,0.7832629829645157,0.7084141,0.7992636,0.14875,0.14400001,0.1340000070631504,0.16200001165270805,0.080000006,0.24000001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15562418,0.15653251,0.1424613818526268,0.1638943813741207,0.12311525,0.1917905,-0.00043940582,-0.0004362142,-0.0005261526093818247,-0.00036818868829868734,-0.00070185325,-0.0002297363,49.829132,50.05606,47.196420669555664,52.079999923706055,43.21414,57.258698,1.6087953,1.6088507,1.6086390018463135,1.6089323163032532,1.6082394,1.6091005,24.898037,25.01157,23.581793785095215,26.02340602874756,21.59071,28.612646,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.43235773,-0.42886743,-0.4421004503965378,-0.4217899218201637,-0.4746454,-0.39619595,-0.34337,-0.3415004,-0.3556489646434784,-0.33128634840250015,-0.38367894,-0.28412974,-0.34337,-0.3415004,-0.3556489646434784,-0.33128634840250015,-0.38367894,-0.28412974,1.0120949,1.0075818,0.9854516983032227,1.0358169972896576,0.9208544,1.0933266,0.09763489,0.09826969,0.09209271520376205,0.10340836271643639,0.080662824,0.11999015,0.09763489,0.09826969,0.09209271520376205,0.10340836271643639,0.080662824,0.11999015,0.0,0.0,0.0,0.0,0.0,0.0,0.008647154,0.008577349,0.008435798343271017,0.008842008654028177,0.007923919,0.009492908,0.43235773,0.42886743,0.4217899218201637,0.4421004503965378,0.39619595,0.4746454,0.34337,0.3415004,0.33128634840250015,0.3556489646434784,0.28412974,0.38367894,-27.056055,-26.95583,-27.670875072479248,-26.48205804824829,-28.563755,-25.483425,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.226653,2.2167244,2.168036997318268,2.278842866420746,2.0259202,2.4053664,0.7422177,0.7389082,0.722679004073143,0.7596143037080765,0.67530674,0.8017888,0.16525,0.164,0.1420000083744526,0.18800001218914986,0.08800001,0.256,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.1509308,0.14850277,0.1361236348748207,0.15939918532967567,0.12723921,0.18589173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.34337,-0.3415004,-0.3556489646434784,-0.33128634840250015,-0.38367894,-0.28412974,-0.25472975,-0.25270295,-0.269917868077755,-0.2423808015882969,-0.29610026,-0.19652522,-0.25472975,-0.25270295,-0.269917868077755,-0.2423808015882969,-0.29610026,-0.19652522,1.0210717,1.0227739,1.000482976436615,1.031775951385498,0.94646853,1.0925894,0.095507644,0.09489193,0.09294474124908447,0.09988886304199696,0.08079986,0.113117926,0.095507644,0.09489193,0.09294474124908447,0.09988886304199696,0.08079986,0.113117926,0.0,0.0,0.0,0.0,0.0,0.0,0.0068674,0.006830008,0.006625726702623069,0.007112978957593441,0.0056825946,0.007673579,0.34337,0.3415004,0.33128634840250015,0.3556489646434784,0.28412974,0.38367894,0.25472975,0.25270295,0.2423808015882969,0.269917868077755,0.19652522,0.29610026,-27.153612,-27.196249,-27.431180477142334,-26.957090854644775,-28.394365,-25.088154,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2464027,2.2501473,2.201106548309326,2.269952356815338,2.0822723,2.4037447,0.7488009,0.7500492,0.7337021827697754,0.7566508203744888,0.6940908,0.80124825,0.15875001,0.16000001,0.1420000083744526,0.17600001394748688,0.072000004,0.24000001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15613475,0.15297079,0.142828106880188,0.16293909400701523,0.12515979,0.20174548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.25472975,-0.25270295,-0.269917868077755,-0.2423808015882969,-0.29610026,-0.19652522,-0.16218777,-0.16007993,-0.17675411701202393,-0.15087926760315895,-0.21437599,-0.09125008,-0.16218777,-0.16007993,-0.17675411701202393,-0.15087926760315895,-0.21437599,-0.09125008,1.0114455,1.0127915,0.9895040690898895,1.0319774746894836,0.95462954,1.0846512,0.09763657,0.09709773,0.09290160238742828,0.10244622640311718,0.082290314,0.11101212,0.09763657,0.09709773,0.09290160238742828,0.10244622640311718,0.082290314,0.11101212,0.0,0.0,0.0,0.0,0.0,0.0,0.005094595,0.005054059,0.00484761584084481,0.0053983572870492935,0.0039305044,0.005922005,0.25472975,0.25270295,0.2423808015882969,0.269917868077755,0.19652522,0.29610026,0.16218777,0.16007993,0.15087926760315895,0.17675411701202393,0.09125008,0.21437599,-26.998665,-27.031345,-27.3968505859375,-26.557323455810547,-28.276325,-25.506971,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2252247,2.228186,2.1769524216651917,2.270395815372467,2.1002269,2.3862803,0.7417416,0.74272865,0.725650817155838,0.7567986100912094,0.7000756,0.7954268,0.16475001,0.16000001,0.15000000968575478,0.17800001427531242,0.112,0.23200001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.14836328,0.14600319,0.1338154636323452,0.15734760835766792,0.12354073,0.1943941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.16218777,-0.16007993,-0.17675411701202393,-0.15087926760315895,-0.21437599,-0.09125008,-0.06689286,-0.06663933,-0.07748840562999249,-0.05179318226873875,-0.12696816,0.01711699,-0.06689286,-0.06663933,-0.07748840562999249,-0.05179318226873875,-0.12696816,0.01711699,1.0077266,1.0131526,0.9822881519794464,1.0368452966213226,0.9250881,1.0705973,0.09853866,0.09701727,0.09186603501439095,0.1041638944298029,0.084996834,0.11882612,0.09853866,0.09701727,0.09186603501439095,0.1041638944298029,0.084996834,0.11882612,0.0,0.0,0.0,0.0,0.0,0.0,0.0032437553,0.0032015983,0.0030175852589309216,0.003535082214511931,0.0018250014,0.0042875195,0.16218777,0.16007993,0.15087926760315895,0.17675411701202393,0.09125008,0.21437599,0.06742777,0.06663933,0.05179318226873875,0.07748840562999249,0.0,0.12696816,-26.927128,-27.003033,-27.48889446258545,-26.658452033996582,-27.877134,-25.017145,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2170427,2.2289803,2.161077082157135,2.281105160713196,2.0352345,2.355361,0.73901427,0.7429935,0.7203590422868729,0.7603684216737747,0.6784115,0.78512037,0.16325001,0.15200001,0.13600000739097595,0.18000001087784767,0.112,0.24800001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15341705,0.15465531,0.1382678672671318,0.16465894132852554,0.110416844,0.20399553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.06689286,-0.06663933,-0.07748840562999249,-0.05179318226873875,-0.12696816,0.01711699,0.029107478,0.02910979,0.01784114446491003,0.04335814155638218,-0.02320483,0.110073596,0.029107478,0.02910979,0.01784114446491003,0.04335814155638218,-0.02320483,0.110073596,1.0127728,1.0191467,0.9947415292263031,1.0332008600234985,0.9393295,1.0677265,0.09734889,0.095687926,0.09264087490737438,0.10121870413422585,0.08556053,0.11499275,0.09734889,0.095687926,0.09264087490737438,0.10121870413422585,0.08556053,0.11499275,0.0,0.0,0.0,0.0,0.0,0.0,0.0013485553,0.0013327865,0.0010358636500313878,0.0015497681160923094,0.0,0.0025393632,0.06742777,0.06663933,0.05179318226873875,0.07748840562999249,0.0,0.12696816,0.0020756614,0.0,0.0,0.0,0.0,0.02320483,-27.092394,-27.24685,-27.599363803863525,-26.620694160461426,-28.34317,-25.438742,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2281446,2.2421675,2.1884750723838806,2.273087203502655,2.0665662,2.3490453,0.74271494,0.7473892,0.7294916957616806,0.7576957643032074,0.6888554,0.78301513,0.163,0.164,0.15000000968575478,0.18400001525878906,0.080000006,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15492377,0.15083253,0.13920998945832253,0.16762081906199455,0.12605196,0.20995459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.029107478,0.02910979,0.01784114446491003,0.04335814155638218,-0.02320483,0.110073596,0.12819567,0.13214639,0.11367666907608509,0.14279993623495102,0.06608236,0.22232503,0.12819567,0.13214639,0.11367666907608509,0.14279993623495102,0.06608236,0.22232503,1.0053164,1.0004199,0.9774833619594574,1.0285741090774536,0.9498081,1.089276,0.0991297,0.09990466,0.09363272786140442,0.10532338917255402,0.08141868,0.11225142,0.0991297,0.09990466,0.09363272786140442,0.10532338917255402,0.08141868,0.11225142,0.0,0.0,0.0,0.0,0.0,0.0,4.1513227e-05,0.0,0.0,0.0,0.0,0.00046409658,0.0020756614,0.0,0.0,0.0,0.0,0.02320483,0.0,0.0,0.0,0.0,0.0,0.0,-27.06479,-27.006523,-27.527241706848145,-26.709487915039062,-28.719717,-25.14025,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.21174,2.2009678,2.150506317615509,2.2629082798957825,2.0896196,2.396455,0.7372467,0.7336559,0.7168354541063309,0.7543027848005295,0.6965399,0.79881835,0.16800001,0.16800001,0.15200001001358032,0.1860000118613243,0.104,0.23200001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15584461,0.15017045,0.14305856078863144,0.16805864125490189,0.11226621,0.21821107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
