seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.22497973000000002,0.22497973,32.760235549520765,37.440098,0.0962091817795527,0.09158165,-27.15520047923323,-27.305449,2.0,2.0,0.08
31,313,0.0,0,0.0,0,0,0,0.22433162,0.22433162,32.760235549520765,37.440098,0.09578570199041533,0.08768905,-27.126944658146968,-28.137232,2.0,2.0,0.08
32,313,0.0,0,0.0,0,0,0,0.22744886999999997,0.22744887,32.760235549520765,37.440098,0.09927223350159745,0.0992279,-26.972306680511185,-26.217617,2.0,2.0,0.08
33,313,0.0,0,0.0,0,0,0,0.23401053,0.23401053,32.760235549520765,37.440098,0.10076387552076678,0.11258694,-26.9161945399361,-26.563076,2.0,2.0,0.08
34,313,0.0,0,0.0,0,0,0,0.22728326999999998,0.22728327,32.760235549520765,37.440098,0.09803808548242812,0.09743395,-27.093088038338657,-26.269455,2.0,2.0,0.08
35,313,0.0,0,0.0,0,0,0,0.23033733999999995,0.23033734,32.760235549520765,37.440098,0.09905470194888179,0.10336237,-26.995511674121403,-27.529972,2.0,2.0,0.08
36,313,0.0,0,0.0,0,0,0,0.21852480000000002,0.2185248,32.760235549520765,37.440098,0.09507011765495207,0.0,-27.185618463258784,-29.064949,2.0,2.0,0.08
37,313,0.0,0,0.0,0,0,0,0.22914472,0.22914472,32.760235549520765,37.440098,0.09698998604153354,0.09773108,-27.087305766773163,-26.79452,2.0,2.0,0.08
38,313,0.0,0,0.0,0,0,0,0.21610183,0.21610183,32.760235549520765,37.440098,0.09381760979233227,0.08885282,-27.284598338658142,-27.9971,2.0,2.0,0.08
39,313,0.0,0,0.0,0,0,0,0.22757316,0.22757316,32.760235549520765,37.440098,0.09619273745047922,0.09527463,-27.01934304472843,-26.622894,2.0,2.0,0.08
40,313,0.0,0,0.0,0,0,0,0.22374076999999998,0.22374077,32.760235549520765,37.440098,0.09704779111821085,0.09162153,-27.13882673162939,-27.863241,2.0,2.0,0.08
41,313,0.0,0,0.0,0,0,0,0.224822,0.224822,32.760235549520765,37.440098,0.09781099957827477,0.09459475,-27.105253361022363,-27.90858,2.0,2.0,0.08
