seed,late_g_eff_mean,late_g_raw_mean,late_alpha_g_eff_mean,late_debt_charge_mean,late_margin_mean,late_break_even_alpha_est,late_debt_floor_frac,late_negative_energy_frac,late_debt_level_mean,late_update_u_mean,late_cut_active_frac,late_window_updates
30,0.16541359301282052,0.16541359301282052,0.023819557393846152,0.0029458871257185895,0.020873670268127562,0.01780922034315684,0.0,0.9967948717948718,0.29416376718500004,0.035256410256410256,1.0,312
31,0.1707102399679487,0.1707102399679487,0.02458227455538461,0.002990463896945513,0.021591810658439098,0.017517776892042213,0.0,0.9967948717948718,0.29976227818493595,0.038461538461538464,1.0,312
32,0.15866924772435897,0.15866924772435897,0.02284837167230769,0.0030218661400875,0.019826505532220193,0.019045065023167572,0.0,1.0,0.30280883409855774,0.035256410256410256,1.0,312
33,0.17065648705128206,0.17065648705128206,0.024574534135384615,0.003001530169403846,0.021573003965980768,0.0175881399017776,0.0,0.9935897435897436,0.3008877127948718,0.038461538461538464,1.0,312
34,0.17719032592948716,0.17719032592948716,0.02551540693384615,0.0029698676529615383,0.02254553928088461,0.016760890513533997,0.0,0.9871794871794872,0.29674892634711536,0.038461538461538464,1.0,312
35,0.16285898528846154,0.16285898528846154,0.02345169388153846,0.003012644636532051,0.02043904924500641,0.018498485859996913,0.0,1.0,0.30127413987820517,0.035256410256410256,1.0,312
36,0.16723948615384615,0.16723948615384615,0.024082486006153845,0.002984157387448718,0.02109832861870513,0.017843617294444124,0.0,0.9967948717948718,0.2977661351923077,0.035256410256410256,1.0,312
37,0.16889665798076925,0.16889665798076925,0.02432111874923077,0.0030111795805737177,0.021309939168657054,0.01782853264578257,0.0,0.9967948717948718,0.3002567448028846,0.035256410256410256,1.0,312
38,0.17823655288461537,0.17823655288461537,0.02566606361538461,0.0028818952022051283,0.022784168413179484,0.016168934797963552,0.0,0.9839743589743589,0.28957202555266026,0.041666666666666664,1.0,312
39,0.15586803355769233,0.15586803355769233,0.022444996832307693,0.0030495030155512823,0.019395493816756412,0.019564646746008715,0.0,0.9967948717948718,0.3060035338570513,0.035256410256410256,1.0,312
40,0.16639980544871794,0.16639980544871794,0.02396157198461538,0.002959339501588141,0.02100223248302724,0.017784512990312164,0.0,0.9967948717948718,0.2953804420733975,0.035256410256410256,1.0,312
41,0.16004162756410256,0.16004162756410256,0.023045994369230768,0.003002666569272436,0.020043327799958332,0.01876178476171618,0.0,0.9967948717948718,0.30067205358173077,0.035256410256410256,1.0,312
42,0.17460848919871794,0.17460848919871794,0.02514362244461538,0.0029343727848076926,0.022209249659807688,0.016805441695725055,0.0,0.9903846153846154,0.29353572815352563,0.038461538461538464,1.0,312
