n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.0,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.003,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.006,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.009,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.012,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.015,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.018,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.021,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.024,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
32,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.982296645641327,1.9495238286074574,0.0015624999650754035,0.004478893052328246,0.6224658582359552,0.12359773366195913,2.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.15346196410246193,0.0240071583219579,0.025,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.02,4000000
