condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,0,1.0,1,16,1.0,0.02904654,0.02904654,1.0136,0.09691701,0.02904654,0.019354839,0.0,0.0,0.0,-26.759592,26.0,2.2299645,0.74332154,0.21,0.0,100,0.13583107,-0.00044846226,53.010834,1.6093311,26.488874,1.0,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,1,0.0,1,16,0.02904654,0.05699057,0.05699057,1.0660475,0.08589195,0.027944034,0.019354839,0.0,0.0,0.0,-28.03394,26.000002,2.3453515,0.7817838,0.192,0.0,125,0.1645157,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,2,0.0,1,16,0.05699057,0.085192725,0.085192725,1.0531887,0.088473104,0.02820215,0.019354839,0.0,0.0,0.0,-26.844364,26.000002,2.3170614,0.7723538,0.08800001,0.0,125,0.1282879,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,3,0.0,1,16,0.085192725,0.11357762,0.11357762,1.0443095,0.09030056,0.028384894,0.019354839,0.0,0.0,0.0,-28.034758,26.000002,2.2975268,0.7658423,0.16000001,0.0,125,0.1552205,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,4,0.0,1,16,0.11357762,0.14299233,0.14299233,0.99740744,0.10059874,0.029414713,0.019354839,0.0,0.0,0.0,-25.969633,26.000002,2.1943402,0.73144674,0.15200001,0.0,125,0.15726212,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,5,0.0,1,16,0.14299233,0.1732612,0.1732612,0.9620154,0.10914017,0.030268855,0.019354839,0.0,0.0,0.0,-25.37026,26.000002,2.116476,0.705492,0.224,0.0,125,0.14500232,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,6,0.0,1,16,0.1732612,0.20109315,0.20109315,1.0717516,0.084771216,0.02783196,0.019354839,0.0,0.0,0.0,-27.591475,26.000002,2.3579006,0.7859669,0.128,0.0,125,0.14511873,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,7,0.0,1,16,0.20109315,0.23188728,0.23188728,0.94160116,0.11439284,0.030794123,0.019354839,0.0,0.0,0.0,-25.171774,26.000002,2.071564,0.69052136,0.2,0.0,125,0.120338835,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,8,0.0,1,16,0.23188728,0.26042637,0.26042637,1.0369567,0.09184242,0.02853908,0.019354839,0.0,0.0,0.0,-26.798113,26.000002,2.2813501,0.76045007,0.120000005,0.0,125,0.17609945,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,42,9,0.0,1,16,0.26042637,0.28774595,0.28774595,1.0988276,0.07964755,0.027319595,0.019354839,0.0,0.0,0.0,-28.738392,26.000002,2.417469,0.805823,0.136,0.0,125,0.16881458,,,,,,,,,0
