mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,0,1.0,1,1.0,0.40385708,1.0157976,0.096427836,0.096427836,1.0,0.0038571134,0.04,-27.423994,2.2347994,0.7449331,0.19999999,0.0,0.15954061,0.0,0.0,3200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,1,0.0,1,0.40385708,0.40747207,1.0439509,0.090375155,0.090375155,1.0,0.003615006,0.04,-27.942667,2.296738,0.76557934,0.17600001,0.0,0.1457079,0.0,0.0,6400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,2,0.0,1,0.40747207,0.41115832,1.0354754,0.09215621,0.09215621,1.0,0.0036862483,0.04,-27.160028,2.2780914,0.75936383,0.112,0.0,0.16250852,0.0,0.0,9600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,3,0.0,1,0.41115832,0.41514012,1.0019817,0.09954473,0.09954473,1.0,0.003981789,0.04,-27.186563,2.2044039,0.7348013,0.17600001,0.0,0.17438948,0.0,0.0,12800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,4,0.0,1,0.41514012,0.41514012,1.1055894,0.0,0.07841707,0.0,0.0,0.04,-28.573126,2.4323452,0.8107817,0.14400001,0.0,0.17196593,0.0,0.0,16000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,5,0.0,1,0.41514012,0.41839498,1.089527,0.08137162,0.08137162,1.0,0.0032548648,0.04,-28.569685,2.3970072,0.7990024,0.14400001,0.0,0.19502284,0.0,0.0,19200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,6,0.0,1,0.41839498,0.42218542,1.0233694,0.0947612,0.0947612,1.0,0.003790448,0.04,-27.411627,2.2514577,0.7504859,0.096,0.0,0.16113259,0.0,0.0,22400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,7,0.0,1,0.42218542,0.42572978,1.052521,0.08860924,0.08860924,1.0,0.0035443695,0.04,-27.87015,2.3155925,0.7718642,0.2,0.0,0.18065763,0.0,0.0,25600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,8,0.0,1,0.42572978,0.4294249,1.0344305,0.09237819,0.09237819,1.0,0.0036951276,0.04,-27.482212,2.2757926,0.75859755,0.15200001,0.0,0.15585855,0.0,0.0,28800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,9,0.0,1,0.4294249,0.43289217,1.0620744,0.08668132,0.08668132,1.0,0.0034672527,0.04,-27.517317,2.3366103,0.7788701,0.120000005,0.0,0.20588,0.0,0.0,32000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,10,0.0,1,0.43289217,0.4366861,1.0229708,0.094848216,0.094848216,1.0,0.0037939285,0.04,-26.852594,2.2505808,0.7501936,0.208,0.0,0.13274714,0.0,0.0,35200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,11,0.0,1,0.4366861,0.44034162,1.0391104,0.09138809,0.09138809,1.0,0.0036555235,0.04,-27.872744,2.2860885,0.7620295,0.15200001,0.0,0.205776,0.0,0.0,38400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,12,0.0,1,0.44034162,0.44424155,1.0110022,0.09749848,0.09749848,1.0,0.003899939,0.04,-26.53994,2.2242491,0.7414164,0.16800001,0.0,0.14868143,0.0,0.0,41600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,13,0.0,1,0.44424155,0.44791612,1.0368544,0.09186406,0.09186406,1.0,0.003674562,0.04,-27.921701,2.281125,0.760375,0.13,0.0,0.16520788,0.0,0.0,44800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,14,0.0,1,0.44791612,0.4515302,1.0440638,0.09035167,0.09035167,1.0,0.0036140669,0.04,-27.599255,2.2969863,0.76566213,0.14400001,0.0,0.16310889,0.0,0.0,48000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,15,0.0,1,0.4515302,0.45516822,1.041195,0.09095047,0.09095047,1.0,0.0036380186,0.04,-27.159983,2.290675,0.7635583,0.112,0.0,0.17048699,0.0,0.0,51200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,16,0.0,1,0.45516822,0.45909113,1.0084528,0.098072484,0.098072484,1.0,0.0039228993,0.04,-26.95045,2.2186403,0.7395468,0.128,0.0,0.14278246,0.0,0.0,54400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,17,0.0,1,0.45909113,0.46331036,0.9768252,0.105481125,0.105481125,1.0,0.0042192447,0.04,-25.74204,2.1490583,0.7163528,0.14400001,0.0,0.15386866,0.0,0.0,57600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,18,0.0,1,0.46331036,0.4666166,1.0827245,0.08265623,0.08265623,1.0,0.003306249,0.04,-28.688948,2.3820415,0.79401386,0.17600001,0.0,0.18750508,0.0,0.0,60800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,19,0.0,1,0.4666166,0.4703344,1.0317734,0.09294511,0.09294511,1.0,0.003717804,0.04,-26.5932,2.2699468,0.75664896,0.14400001,0.0,0.1669637,0.0,0.0,64000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,20,0.0,1,0.4703344,0.47443894,0.98879564,0.10261347,0.10261347,1.0,0.004104539,0.04,-26.447033,2.1753938,0.7251313,0.16800001,0.0,0.1688117,0.0,0.0,67200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,21,0.0,1,0.47443894,0.47861436,0.9813607,0.104385294,0.104385294,1.0,0.0041754115,0.04,-25.984526,2.1590366,0.7196789,0.16800001,0.0,0.13968824,0.0,0.0,70400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,22,0.0,1,0.47861436,0.48230258,1.0352443,0.09220525,0.09220525,1.0,0.00368821,0.04,-27.884672,2.2775831,0.7591944,0.14400001,0.0,0.20526816,0.0,0.0,73600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,23,0.0,1,0.48230258,0.48622215,1.0088212,0.09798933,0.09798933,1.0,0.003919573,0.04,-26.804142,2.2194512,0.7398171,0.17600001,0.0,0.15702856,0.0,0.0,76800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,24,0.0,1,0.48622215,0.4896928,1.0616492,0.086766236,0.086766236,1.0,0.0034706492,0.04,-27.522299,2.335675,0.7785584,0.136,0.0,0.15978053,0.0,0.0,80000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.04,41,25,0.0,1,0.4896928,0.49345466,1.0266582,0.09404632,0.09404632,1.0,0.0037618526,0.04,-27.369333,2.258693,0.7528977,0.112,0.0,0.14761585,0.0,0.0,83200
