condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,0,1.0,1,16,1.0,0.43935487,0.43935487,1.0259358,0.09420288,0.019354839,0.019354839,0.0,0.0,0.0,-26.84268,26.0,2.2571037,0.7523679,0.14,0.0,100,0.14863113,-0.0008334832,51.800888,1.6092794,25.883518,1.0,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,1,0.0,1,16,0.43935487,0.45870972,0.45870972,1.0982715,0.07974959,0.019354839,0.019354839,0.0,0.0,0.0,-28.334623,26.000002,2.4162455,0.80541515,0.18400002,0.0,125,0.20499255,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,2,0.0,1,16,0.45870972,0.47806457,0.47806457,1.0536026,0.08838883,0.019354839,0.019354839,0.0,0.0,0.0,-28.21227,26.000002,2.317972,0.77265733,0.080000006,0.0,125,0.1638643,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,3,0.0,1,16,0.47806457,0.49741942,0.49741942,1.0846264,0.08229502,0.019354839,0.019354839,0.0,0.0,0.0,-29.322617,26.000002,2.3862257,0.7954086,0.128,0.0,125,0.1742769,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,4,0.0,1,16,0.49741942,0.51677424,0.51677424,1.0223107,0.094992496,0.019354839,0.019354839,0.0,0.0,0.0,-27.235018,26.000002,2.2491286,0.74970955,0.17600001,0.0,125,0.13486272,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,5,0.0,1,16,0.51677424,0.53612906,0.53612906,0.97982043,0.104756154,0.019354839,0.019354839,0.0,0.0,0.0,-26.089165,26.000002,2.155648,0.7185494,0.16000001,0.0,125,0.12387689,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,6,0.0,1,16,0.53612906,0.5554839,0.5554839,1.0603771,0.08702075,0.019354839,0.019354839,0.0,0.0,0.0,-28.195976,26.000002,2.3328762,0.77762544,0.136,0.0,125,0.17618074,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,7,0.0,1,16,0.5554839,0.5748387,0.5748387,1.0300962,0.09330476,0.019354839,0.019354839,0.0,0.0,0.0,-27.144512,26.000002,2.2662568,0.75541896,0.16000001,0.0,125,0.11849667,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,8,0.0,1,16,0.5748387,0.5941935,0.5941935,1.0253265,0.09433514,0.019354839,0.019354839,0.0,0.0,0.0,-27.46979,26.000002,2.2557633,0.7519211,0.14400001,0.0,125,0.14344575,,,,,,,,,0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,9,1.0,2,32,0.5941935,0.033548374,0.033548374,1.0218391,0.09509569,0.019354839,0.019354839,0.0,0.0,0.0,-27.194717,26.000002,2.248091,0.74936366,0.17600001,0.0,125,0.13263942,-0.00031933154,48.364006,1.6086321,24.165596,1.0,,,,0
