seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.3911793499999999,0.39117935,32.40024014057508,37.080112,0.0905478157316294,0.093826294,-27.069323482428118,-27.335087,2.0,2.0,0.12
31,313,0.0,0,0.0,0,0,0,0.32672276999999994,0.32672277,32.340240824281146,37.020115,0.08511674591693291,0.090712644,-27.086918747603832,-28.039993,2.0,2.0,0.12
32,313,0.0,0,0.0,0,0,0,0.3518957,0.3518957,32.31024115654952,36.990116,0.08934473612779553,0.09949279,-27.045155316293926,-26.169395,2.0,2.0,0.12
33,313,0.0,0,0.0,0,0,0,0.37331872999999993,0.37331873,32.35524110543131,37.035114,0.09738463303833866,0.113239065,-26.9298484057508,-26.541552,2.0,2.0,0.12
34,313,0.0,0,0.0,0,0,0,0.37420842,0.37420842,32.32524144408946,37.005116,0.08813661565495208,0.09653254,-27.101229031948886,-26.426,2.0,2.0,0.12
35,313,0.0,0,0.0,0,0,0,0.4235105799999999,0.42351058,32.46023943450479,37.14011,0.09661254906389775,0.10177004,-26.930062341853034,-27.387863,2.0,2.0,0.12
36,313,0.0,0,0.0,0,0,0,0.25729805,0.25729805,32.10024330351438,36.780125,0.07768879201916933,0.0,-27.193452830670928,-29.002298,2.0,2.0,0.12
37,313,0.0,0,0.0,0,0,0,0.39028698,0.39028698,32.43023978913738,37.11011,0.0869068771118211,0.09916602,-27.034563166134184,-26.796501,2.0,2.0,0.12
38,313,0.0,0,0.0,0,0,0,0.23672907000000004,0.23672907,32.085243923322686,36.765125,0.0693301453546326,0.0,-27.379814523961667,-28.072535,2.0,2.0,0.12
39,313,0.0,0,0.0,0,0,0,0.36517420000000006,0.3651742,32.46023943450479,37.14011,0.08173190041853035,0.095189415,-27.056648999999997,-26.689646,2.0,2.0,0.12
40,313,0.0,0,0.0,0,0,0,0.3569978200000001,0.35699782,32.47523969009585,37.15511,0.08374111705111821,0.0,-27.159264514376996,-27.951431,2.0,2.0,0.12
41,313,0.0,0,0.0,0,0,0,0.38307926000000003,0.38307926,32.43023978913738,37.11011,0.09199069681469649,0.09377702,-27.061728306709266,-27.896103,2.0,2.0,0.12
