condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,0,1.0,1,16,1.0,0.02778824,0.02778824,1.0739973,0.084334016,0.02778824,0.019354839,0.0,0.0,0.0,-27.958464,26.0,2.3628411,0.78761375,0.17999999,0.0,100,0.15948392,-0.0007423948,57.838043,1.6092988,28.902187,1.0,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,1,0.0,1,16,0.02778824,0.055605818,0.055605818,1.0724891,0.08462738,0.027817577,0.019354839,0.0,0.0,0.0,-28.132221,26.000002,2.3595233,0.7865078,0.136,0.0,125,0.14916873,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,2,0.0,1,16,0.055605818,0.08440572,0.08440572,1.0247953,0.094450586,0.028799899,0.019354839,0.0,0.0,0.0,-26.762012,26.000002,2.2545946,0.75153154,0.128,0.0,125,0.13993247,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,3,0.0,1,16,0.08440572,0.113270655,0.113270655,1.0218152,0.09510095,0.028864935,0.019354839,0.0,0.0,0.0,-27.811333,26.000002,2.2480383,0.74934614,0.128,0.0,125,0.15757243,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,4,0.0,1,16,0.113270655,0.14233263,0.14233263,1.0129087,0.097071394,0.029061979,0.019354839,0.0,0.0,0.0,-27.01932,26.000002,2.2284436,0.74281454,0.216,0.0,125,0.14274544,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,5,0.0,1,16,0.14233263,0.16951573,0.16951573,1.1063346,0.078282624,0.0271831,0.019354839,0.0,0.0,0.0,-28.404078,26.000002,2.4339848,0.8113283,0.08800001,0.0,125,0.14422202,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,6,0.0,1,16,0.16951573,0.19826742,0.19826742,1.0270176,0.093968526,0.028751692,0.019354839,0.0,0.0,0.0,-27.575981,26.000002,2.2594838,0.7531613,0.120000005,0.0,125,0.15643002,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,7,0.0,1,16,0.19826742,0.22712049,0.22712049,1.0223575,0.09498226,0.028853066,0.019354839,0.0,0.0,0.0,-27.840498,26.000002,2.2492313,0.7497438,0.16000001,0.0,125,0.17608269,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,8,0.0,1,16,0.22712049,0.2569251,0.2569251,0.98089254,0.10449787,0.029804626,0.019354839,0.0,0.0,0.0,-26.798449,26.000002,2.1580067,0.71933556,0.2,0.0,125,0.15097676,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,9,0.0,1,16,0.2569251,0.28534836,0.28534836,1.0424685,0.09068417,0.028423257,0.019354839,0.0,0.0,0.0,-27.740341,26.000002,2.2934766,0.7644922,0.16800001,0.0,125,0.17796504,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,10,0.0,1,16,0.28534836,0.31417492,0.31417492,1.0235703,0.094717376,0.028826576,0.019354839,0.0,0.0,0.0,-26.642384,26.000002,2.2518997,0.75063324,0.136,0.0,125,0.15469615,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,11,0.0,1,16,0.31417492,0.3442609,0.3442609,0.96935374,0.1073115,0.030085988,0.019354839,0.0,0.0,0.0,-26.187553,26.000002,2.1326208,0.7108736,0.16800001,0.0,125,0.12549242,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,12,0.0,1,16,0.3442609,0.37171626,0.37171626,1.0914868,0.08100525,0.027455363,0.019354839,0.0,0.0,0.0,-28.310148,26.000002,2.401319,0.8004397,0.128,0.0,125,0.1475675,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,13,0.0,1,16,0.37171626,0.3997556,0.3997556,1.0612545,0.08684513,0.028039351,0.019354839,0.0,0.0,0.0,-27.350943,26.0,2.3348064,0.7782688,0.14999999,0.0,100,0.12891199,,,,,,,,,0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,14,0.0,1,16,0.3997556,0.42897347,0.42897347,1.0059901,0.09863019,0.029217858,0.019354839,0.0,0.0,0.0,-25.963255,26.000002,2.2132225,0.7377409,0.120000005,0.0,125,0.13114542,,,,,,,,,0
