seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.025559105431309903,1,8.0,4,1,0,-0.31285365789009584,-0.18533036,0.0,0.0,0.14721190904153356,0.16935351,-24.782015712460066,-24.112257,18.20447284345048,22.0,0.12,borrow
31,313,0.02875399361022364,1,9.0,4,1,0,-0.3013150696734824,-0.020665754,0.0,0.0,0.1658615128115016,0.1589403,-23.991708952076678,-24.725346,22.9073482428115,27.0,0.12,borrow
32,313,0.02875399361022364,1,9.0,4,1,0,-0.3013133718952077,-0.057901777,0.0,0.0,0.1649590737060703,0.17183682,-24.00164863258786,-23.490234,25.900958466453673,30.0,0.12,borrow
33,313,0.02875399361022364,1,9.0,4,1,0,-0.3110103249134185,-0.3030141,0.0,0.0,0.15839141476038338,0.16912496,-24.25638976677316,-23.609861,24.690095846645367,29.0,0.12,borrow
34,313,0.02875399361022364,1,9.0,4,1,0,-0.30922156899840253,-0.4349179,0.0,0.0,0.1684467847923323,0.17743175,-23.915269134185305,-23.113457,25.118210862619808,30.0,0.12,borrow
35,313,0.025559105431309903,1,8.0,4,1,0,-0.30959538249488816,-0.41773158,0.0,0.0,0.15073882370607028,0.16840851,-24.574105619808307,-24.792074,19.70926517571885,24.0,0.12,borrow
36,313,0.025559105431309903,1,8.0,4,1,0,-0.30318477206357825,-0.21556032,0.0,0.0,0.15447966383386583,0.16611789,-24.44267238977636,-24.396341,17.830670926517573,22.0,0.12,borrow
37,313,0.025559105431309903,1,8.0,4,1,0,-0.3072220049434505,-0.3189495,0.0,0.0,0.15057247601277957,0.15723981,-24.580834833865815,-24.23831,20.773162939297123,25.0,0.12,borrow
38,313,0.006389776357827476,1,2.0,2,0,1,-0.3059225224261981,-0.40639517,0.0,0.0,0.056276042210862624,0.10152891,-26.933753434504794,-27.344116,3.4792332268370605,5.0,0.12,borrow
39,313,0.019169329073482427,1,6.0,4,1,0,-0.3113784533015974,-0.028723594,0.0,0.0,0.13094681415335463,0.13143034,-25.353304779552715,-24.990345,12.996805111821086,16.0,0.12,borrow
40,313,0.02875399361022364,1,9.0,4,1,0,-0.303528000229393,-0.54164106,0.0,0.0,0.15649514060702874,0.16565892,-24.42157195207668,-24.302626,21.191693290734825,26.0,0.12,borrow
41,313,0.025559105431309903,1,8.0,4,1,0,-0.3063570496386581,-0.14856136,0.0,0.0,0.15083135118210864,0.14973482,-24.541701763578274,-24.756287,21.19808306709265,25.0,0.12,borrow
