update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_raw_mean,energy_E_raw_median,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_min,energy_E_raw_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,support_s_mean,support_s_median,support_s_q25,support_s_q75,support_s_min,support_s_max,debt_charge_mean,debt_charge_median,debt_charge_q25,debt_charge_q75,debt_charge_min,debt_charge_max,debt_level_pre_mean,debt_level_pre_median,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_min,debt_level_pre_max,debt_level_post_mean,debt_level_post_median,debt_level_post_q25,debt_level_post_q75,debt_level_post_min,debt_level_post_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max,eval_return_end_mean_cp_mean,eval_return_end_mean_cp_median,eval_return_end_mean_cp_q25,eval_return_end_mean_cp_q75,eval_return_end_mean_cp_min,eval_return_end_mean_cp_max,eval_csr_cp_mean,eval_csr_cp_median,eval_csr_cp_q25,eval_csr_cp_q75,eval_csr_cp_min,eval_csr_cp_max,eval_dbar_end_cp_mean,eval_dbar_end_cp_median,eval_dbar_end_cp_q25,eval_dbar_end_cp_q75,eval_dbar_end_cp_min,eval_dbar_end_cp_max,eval_checkpoint_flag_mean,eval_checkpoint_flag_median,eval_checkpoint_flag_q25,eval_checkpoint_flag_q75,eval_checkpoint_flag_min,eval_checkpoint_flag_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.43935487,0.43935487,0.43935486674308777,0.43935486674308777,0.43935487,0.43935487,0.43935487,0.43935487,0.43935486674308777,0.43935486674308777,0.43935487,0.43935487,1.0447404,1.0389724,1.019595742225647,1.0671032071113586,0.9784316,1.1350667,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.536686,-27.520226,-28.134815216064453,-26.98329782485962,-28.931879,-26.322607,26.0,26.0,26.0,26.0,26.0,26.0,2.2984748,2.2857847,2.2431554794311523,2.3476739525794983,2.1525924,2.4971967,0.7661583,0.7619283,0.7477184981107712,0.7825580090284348,0.71753085,0.8323989,0.1528125,0.155,0.13749999925494194,0.17000000178813934,0.07,0.22,0.0003125,0.0,0.0,0.0,0.0,0.01,100.0,100.0,100.0,100.0,100,100,0.16019984,0.15729368,0.14264825358986855,0.17653607577085495,0.12611115,0.21411662,-0.00062344386,-0.0005861651,-0.000693605121341534,-0.0005102295253891498,-0.0010959309,-0.00039915967,54.970543,54.51586,52.835710525512695,57.48189163208008,50.188774,60.54487,1.6093216,1.6093243,1.6093030273914337,1.6093438565731049,1.6092222,1.6093736,27.468555,27.241207,26.401345252990723,28.72396993637085,25.077732,30.255863,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.43935487,0.43935487,0.43935486674308777,0.43935486674308777,0.43935487,0.43935487,0.45870972,0.45870972,0.458709716796875,0.458709716796875,0.45870972,0.45870972,0.45870972,0.45870972,0.458709716796875,0.458709716796875,0.45870972,0.45870972,1.0326464,1.0337217,1.017987310886383,1.0498546361923218,0.9528673,1.1076319,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.370176,-27.4151,-27.99587631225586,-27.04631996154785,-28.46121,-25.809076,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2718675,2.2742329,2.239616811275482,2.309726297855377,2.09635,2.4368389,0.7572892,0.7580777,0.7465389370918274,0.7699088007211685,0.69878334,0.81227964,0.1595,0.164,0.1420000083744526,0.18400001525878906,0.072000004,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1601295,0.15757054,0.14520731195807457,0.17407873272895813,0.1316319,0.20499255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.45870972,0.45870972,0.458709716796875,0.458709716796875,0.45870972,0.45870972,0.47806457,0.47806457,0.47806456685066223,0.47806456685066223,0.47806457,0.47806457,0.47806457,0.47806457,0.47806456685066223,0.47806456685066223,0.47806457,0.47806457,1.0403606,1.0343337,1.011101245880127,1.0615804493427277,0.9722444,1.1336937,0.091486074,0.09239912,0.0867819432169199,0.09747659415006638,0.07350321,0.10659962,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.39404,-27.259575,-28.036320686340332,-26.758962631225586,-29.294966,-25.657452,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2888389,2.2755795,2.2244672179222107,2.3355236053466797,2.1389804,2.494176,0.7629463,0.75852656,0.7414890974760056,0.778507873415947,0.7129935,0.831392,0.15325001,0.16000001,0.1340000070631504,0.17800001427531242,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.16085948,0.1631864,0.14198491722345352,0.17633040994405746,0.120542884,0.20997947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.47806457,0.47806457,0.47806456685066223,0.47806456685066223,0.47806457,0.47806457,0.49741942,0.49741942,0.49741941690444946,0.49741941690444946,0.49741942,0.49741942,0.49741942,0.49741942,0.49741941690444946,0.49741941690444946,0.49741942,0.49741942,1.0336359,1.0288181,1.0019554197788239,1.0680645406246185,0.9659999,1.0898831,0.0928766,0.09359191,0.08549623191356659,0.099550761282444,0.08130493,0.10814341,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.50981,-27.594276,-27.99046754837036,-27.023823261260986,-29.322617,-25.936377,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2740445,2.2634451,2.204345941543579,2.3497889041900635,2.1252422,2.3977907,0.7580148,0.75448173,0.7347819805145264,0.7832629829645157,0.7084141,0.7992636,0.14850001,0.14400001,0.1340000070631504,0.16200001165270805,0.080000006,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15575516,0.15653251,0.1428351141512394,0.1638943813741207,0.12311525,0.1917905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.49741942,0.49741942,0.49741941690444946,0.49741941690444946,0.49741942,0.49741942,0.51677424,0.51677424,0.5167742371559143,0.5167742371559143,0.51677424,0.51677424,0.51677424,0.51677424,0.5167742371559143,0.5167742371559143,0.51677424,0.51677424,1.0289799,1.023109,0.9996539354324341,1.0555811822414398,0.93765134,1.1202445,0.09394469,0.0948181,0.08798952959477901,0.10007972829043865,0.07581507,0.115437955,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.266005,-27.204079,-27.935555934906006,-26.62804126739502,-28.973904,-25.679977,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2638009,2.2508845,2.1992825865745544,2.3223248720169067,2.062874,2.4645872,0.75460035,0.7502949,0.7330942004919052,0.7741083204746246,0.6876247,0.8215291,0.15850002,0.15600002,0.1420000083744526,0.17000001296401024,0.08800001,0.23200001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15410872,0.15352775,0.14036079496145248,0.16245261952280998,0.1277501,0.18829244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.51677424,0.51677424,0.5167742371559143,0.5167742371559143,0.51677424,0.51677424,0.53612906,0.53612906,0.5361290574073792,0.5361290574073792,0.53612906,0.53612906,0.53612906,0.53612906,0.5361290574073792,0.5361290574073792,0.53612906,0.53612906,1.0412906,1.0393504,1.0203937888145447,1.056130737066269,0.9620154,1.1097598,0.09119181,0.09133761,0.08787646144628525,0.09541291370987892,0.07766765,0.10914017,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.390654,-27.492798,-27.708566188812256,-27.161569118499756,-28.569685,-25.37026,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.290885,2.2866163,2.2449111342430115,2.3235338926315308,2.116476,2.4415202,0.76362836,0.7622055,0.7483037412166595,0.7745113223791122,0.705492,0.8138401,0.14850001,0.148,0.12600000575184822,0.17000001296401024,0.040000003,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15879318,0.1557582,0.14568164572119713,0.165692999958992,0.12387689,0.19830869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.53612906,0.53612906,0.5361290574073792,0.5361290574073792,0.53612906,0.53612906,0.5554839,0.5554839,0.555483877658844,0.555483877658844,0.5554839,0.5554839,0.5554839,0.5554839,0.555483877658844,0.555483877658844,0.5554839,0.5554839,1.0325344,1.0308462,1.0080260336399078,1.05193692445755,0.9772175,1.104457,0.09299698,0.09314738,0.08872857317328453,0.09816964901983738,0.0786218,0.10538591,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.266804,-27.360561,-27.600886821746826,-26.83445644378662,-28.576517,-25.8424,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2716208,2.2679071,2.217701494693756,2.314307391643524,2.1499214,2.429854,0.757207,0.75596905,0.7392338663339615,0.7714357972145081,0.7166405,0.8099513,0.15225,0.15200001,0.1340000070631504,0.17000001296401024,0.096,0.23200001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15233052,0.15023945,0.13836617022752762,0.16149022802710533,0.12540627,0.19861504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.5554839,0.5554839,0.555483877658844,0.555483877658844,0.5554839,0.5554839,0.5748387,0.5748387,0.5748386979103088,0.5748386979103088,0.5748387,0.5748387,0.5748387,0.5748387,0.5748386979103088,0.5748386979103088,0.5748387,0.5748387,1.0298936,1.0295334,1.0055398046970367,1.0502220690250397,0.94160116,1.0977734,0.09363742,0.09342584,0.08907994627952576,0.09873342141509056,0.0798411,0.11439284,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.181671,-27.194344,-27.86007022857666,-26.869181632995605,-28.154287,-25.171774,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2658112,2.2650185,2.212231695652008,2.3105347752571106,2.071564,2.4151497,0.7552704,0.7550062,0.7374105900526047,0.7701782733201981,0.69052136,0.8050499,0.15175001,0.148,0.12800000607967377,0.17600001394748688,0.096,0.208,0.00075,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15658341,0.15785071,0.1399802789092064,0.16995405033230782,0.11849667,0.19819313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.5748387,0.5748387,0.5748386979103088,0.5748386979103088,0.5748387,0.5748387,0.5941935,0.5941935,0.5941935181617737,0.5941935181617737,0.5941935,0.5941935,0.5941935,0.5941935,0.5941935181617737,0.5941935181617737,0.5941935,0.5941935,1.0348414,1.0389688,1.022285282611847,1.049035668373108,0.96166587,1.0918744,0.09247553,0.09141801,0.08932396024465561,0.09499897249042988,0.080933,0.10922804,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.346142,-27.431175,-27.845648765563965,-26.88192367553711,-28.744541,-25.61951,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2766964,2.285777,2.24907249212265,2.3079245686531067,2.1157072,2.4021716,0.75889885,0.76192576,0.74969083070755,0.7693081945180893,0.7052357,0.8007239,0.15525001,0.15200001,0.1340000070631504,0.1860000118613243,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.1586562,0.15501459,0.14677482470870018,0.17149269580841064,0.13141693,0.21341549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
9,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.5941935,0.5941935,0.5941935181617737,0.5941935181617737,0.5941935,0.5941935,0.033548374,0.033548374,0.033548373728990555,0.033548373728990555,0.033548374,0.033548374,0.033548374,0.033548374,0.033548373728990555,0.033548373728990555,0.033548374,0.033548374,1.0289328,1.0263638,1.0012272000312805,1.056371659040451,0.97667015,1.0988276,0.093828134,0.094113275,0.08782707341015339,0.09971784614026546,0.07964755,0.1055188,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.019354839,0.019354839,0.019354838877916336,0.019354838877916336,0.019354839,0.019354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.323223,-27.3089,-27.715184211730957,-26.953757762908936,-29.02969,-25.451208,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2636974,2.2580454,2.2027437686920166,2.324064075946808,2.1487172,2.417469,0.7545658,0.75268185,0.7342479228973389,0.7746880650520325,0.7162391,0.805823,0.16000001,0.16000001,0.1420000083744526,0.17600001394748688,0.104,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15985464,0.15493903,0.14681658521294594,0.17021512240171432,0.11013184,0.210258,-0.0004460688,-0.00042883927,-0.0005715489096473902,-0.0003331723710289225,-0.0011276102,-0.000113775415,49.83292,49.80108,47.60091590881348,51.42408752441406,43.283802,57.571365,1.6088041,1.6088606,1.6086599230766296,1.6089373528957367,1.6082435,1.6090994,24.899927,24.884214,23.783997535705566,25.695595741271973,21.625238,28.769173,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
